delivery_unit_id,need_ts,volume_cf,storage_area_sf,element_count,takt_zones,levels,disciplines,categories,first_task,source,need_date
PO-000001:CONC_400CF_TRUCK_ASSEMBLY,2029-11-09 00:00:00,800.0,0.0,2.0,,L -1,Concrete,Concrete Truck,Concrete Truck Delivery,Production Order,2029-11-09
PO-000002:CONC_400CF_TRUCK_ASSEMBLY,2029-11-12 00:00:00,1600.0,0.0,4.0,,L 0,Concrete,Concrete Truck,Concrete Truck Delivery,Production Order,2029-11-12
PO-000003:CONC_400CF_TRUCK_ASSEMBLY,2029-11-19 00:00:00,2400.0,0.0,6.0,,L -1,Concrete,Concrete Truck,Concrete Truck Delivery,Production Order,2029-11-19
PO-000004:STRUCT_COL_10_0_CONCRETE_CAST_IN_PLACE_GRAY,2029-11-19 00:00:00,27.22,0.0,2.0,,L -1,Structural,Structural Columns,"Structural Column 10' - 0"" | Concrete, Cast-in-Place gray assembly",Production Order,2029-11-19
PO-000005:STRUCT_COL_4_0_CONCRETE_NORMAL_WEIGHT_4_KSI,2029-11-19 00:00:00,116.0,0.0,29.0,L -1 Zone 1|L -1 Zone 2|L -1 Zone 4|L -1 Zone 5,L -1,Structural,Structural Columns,"Structural Column 4' - 0"" | Concrete, Normal Weight - 4 ksi assembly",Production Order,2029-11-19
PO-000006:STRUCT_COL_5_0_CONCRETE_CAST_IN_PLACE_GRAY,2029-11-19 00:00:00,20.43,0.0,3.0,,L -1,Structural,Structural Columns,"Structural Column 5' - 0"" | Concrete, Cast-in-Place gray assembly",Production Order,2029-11-19
PO-000007:STRUCT_FRAME_22_0_CONCRETE_NORMAL_WEIGHT_4_KSI,2029-11-19 00:00:00,47.85,0.0,1.0,,,Structural,Structural Framing,"Structural Framing 22' - 0"" | Concrete, Normal Weight - 4 ksi assembly",Production Order,2029-11-19
PO-000008:STRUCT_FRAME_29_0_CONCRETE_NORMAL_WEIGHT_4_KSI,2029-11-19 00:00:00,442.55,0.0,9.0,,,Structural,Structural Framing,"Structural Framing 29' - 0"" | Concrete, Normal Weight - 4 ksi assembly",Production Order,2029-11-19
PO-000009:STRUCT_FRAME_0_0_CONCRETE_CAST_IN_PLACE_GRAY,2029-11-20 00:00:00,0.04,0.0,1.0,,,Structural,Structural Framing,"Structural Framing 0' - 0"" | Concrete, Cast-in-Place gray assembly",Production Order,2029-11-20
PO-000010:STRUCT_FRAME_14_6_CONCRETE_NORMAL_WEIGHT_4_KSI,2029-11-20 00:00:00,362.9,0.0,15.0,,,Structural,Structural Framing,"Structural Framing 14' - 6"" | Concrete, Normal Weight - 4 ksi assembly",Production Order,2029-11-20
PO-000011:STRUCT_FRAME_29_0_CONCRETE_NORMAL_WEIGHT_4_KSI,2029-11-20 00:00:00,642.78,0.0,13.0,,,Structural,Structural Framing,"Structural Framing 29' - 0"" | Concrete, Normal Weight - 4 ksi assembly",Production Order,2029-11-20
PO-000012:STRUCT_FRAME_29_10_CONCRETE_NORMAL_WEIGHT_4_KSI,2029-11-20 00:00:00,150.35999999999999,0.0,3.0,,,Structural,Structural Framing,"Structural Framing 29' - 10"" | Concrete, Normal Weight - 4 ksi assembly",Production Order,2029-11-20
PO-000013:STRUCT_FRAME_7_0_CONCRETE_NORMAL_WEIGHT_4_KSI,2029-11-20 00:00:00,0.0,0.0,1.0,,,,,"Structural Framing 7' - 0"" | Concrete, Normal Weight - 4 ksi assembly",Production Order,2029-11-20
PO-000014:CONC_400CF_TRUCK_ASSEMBLY,2029-11-21 00:00:00,2400.0,0.0,6.0,,L 0,Concrete,Concrete Truck,Concrete Truck Delivery,Production Order,2029-11-21
PO-000015:STRUCT_FRAME_29_0_CONCRETE_NORMAL_WEIGHT_4_KSI,2029-11-21 00:00:00,99.48,0.0,2.0,,,Structural,Structural Framing,"Structural Framing 29' - 0"" | Concrete, Normal Weight - 4 ksi assembly",Production Order,2029-11-21
PO-000016:STRUCT_FRAME_29_7_3_8_CONCRETE_NORMAL_WEIGHT_4_KSI,2029-11-21 00:00:00,151.38,0.0,3.0,,,Structural,Structural Framing,"Structural Framing 29' - 7 3/8"" | Concrete, Normal Weight - 4 ksi assembly",Production Order,2029-11-21
PO-000017:STRUCT_FRAME_58_0_CONCRETE_NORMAL_WEIGHT_4_KSI,2029-11-21 00:00:00,101.3,0.0,1.0,,,Structural,Structural Framing,"Structural Framing 58' - 0"" | Concrete, Normal Weight - 4 ksi assembly",Production Order,2029-11-21
PO-000018:CONC_400CF_TRUCK_ASSEMBLY,2029-11-22 00:00:00,3600.0,0.0,9.0,,L -1,Concrete,Concrete Truck,Concrete Truck Delivery,Production Order,2029-11-22
PO-000019:CONC_400CF_TRUCK_ASSEMBLY,2029-11-26 00:00:00,800.0,0.0,2.0,,L 0,Concrete,Concrete Truck,Concrete Truck Delivery,Production Order,2029-11-26
PO-000020:STRUCT_COL_15_0_STRUCTURAL_BAMBOO_CLB,2029-11-26 00:00:00,56.94,0.0,3.0,,L -1,Structural,Structural Columns,"Structural Column 15' - 0"" | Structural Bamboo (CLB) assembly",Production Order,2029-11-26
PO-000021:STRUCT_COL_15_0_STRUCTURAL_BAMBOO_CLB,2029-11-27 00:00:00,455.52,0.0,24.0,L -1 Zone 1|L -1 Zone 2|L -1 Zone 3|L -1 Zone 4|L -1 Zone 5,L -1,Structural,Structural Columns,"Structural Column 15' - 0"" | Structural Bamboo (CLB) assembly",Production Order,2029-11-27
PO-000022:STRUCT_COL_15_0_STRUCTURAL_BAMBOO_CLB,2029-11-28 00:00:00,18.98,0.0,1.0,,L -1,Structural,Structural Columns,"Structural Column 15' - 0"" | Structural Bamboo (CLB) assembly",Production Order,2029-11-28
PO-000023:STRUCT_FLOOR_L_0_BAMBOO_6_0_6_STRUCTURAL_BAMBOO_CLB,2029-11-28 00:00:00,0.0,0.0,3.0,,,,,"Structural Floor L 0 | Bamboo - 6"" | 0' - 6"" | Structural Bamboo (CLB) assembly",Production Order,2029-11-28
PO-000024:STRUCT_FRAME_14_0_STRUCTURAL_BAMBOO_CLB,2029-11-28 00:00:00,24.1,0.0,1.0,,,Structural,Structural Framing,"Structural Framing 14' - 0"" | Structural Bamboo (CLB) assembly",Production Order,2029-11-28
PO-000025:STRUCT_FRAME_14_6_STRUCTURAL_BAMBOO_CLB,2029-11-28 00:00:00,46.82,0.0,2.0,,,Structural,Structural Framing,"Structural Framing 14' - 6"" | Structural Bamboo (CLB) assembly",Production Order,2029-11-28
PO-000026:STRUCT_FRAME_17_7_STRUCTURAL_BAMBOO_CLB,2029-11-28 00:00:00,48.78,0.0,1.0,,,Structural,Structural Framing,"Structural Framing 17' - 7"" | Structural Bamboo (CLB) assembly",Production Order,2029-11-28
PO-000027:STRUCT_FRAME_18_3_7_8_STRUCTURAL_BAMBOO_CLB,2029-11-28 00:00:00,30.1,0.0,1.0,,,Structural,Structural Framing,"Structural Framing 18' - 3 7/8"" | Structural Bamboo (CLB) assembly",Production Order,2029-11-28
PO-000028:STRUCT_FRAME_20_1_STRUCTURAL_BAMBOO_CLB,2029-11-28 00:00:00,32.27,0.0,1.0,,,Structural,Structural Framing,"Structural Framing 20' - 1"" | Structural Bamboo (CLB) assembly",Production Order,2029-11-28
PO-000029:STRUCT_FRAME_21_10_3_4_STRUCTURAL_BAMBOO_CLB,2029-11-28 00:00:00,36.35,0.0,1.0,,,Structural,Structural Framing,"Structural Framing 21' - 10 3/4"" | Structural Bamboo (CLB) assembly",Production Order,2029-11-28
PO-000030:STRUCT_FRAME_29_0_STRUCTURAL_BAMBOO_CLB,2029-11-28 00:00:00,535.4599999999999,0.0,11.0,,,Structural,Structural Framing,"Structural Framing 29' - 0"" | Structural Bamboo (CLB) assembly",Production Order,2029-11-28
PO-000031:STRUCT_FRAME_9_6_STRUCTURAL_BAMBOO_CLB,2029-11-28 00:00:00,30.66,0.0,2.0,,,Structural,Structural Framing,"Structural Framing 9' - 6"" | Structural Bamboo (CLB) assembly",Production Order,2029-11-28
PO-000032:STRUCT_FLOOR_L_0_BAMBOO_6_0_6_STRUCTURAL_BAMBOO_CLB,2029-11-29 00:00:00,0.0,0.0,24.0,,,,,"Structural Floor L 0 | Bamboo - 6"" | 0' - 6"" | Structural Bamboo (CLB) assembly",Production Order,2029-11-29
PO-000033:EXTW_1404538,2029-11-30 00:00:00,129.9,195.0,1.0,,L -1,Architecture,Walls,Exterior Wall L -1 1404538,Production Order,2029-11-30
PO-000034:EXTW_2184865,2029-11-30 00:00:00,129.29,194.0,1.0,,L -1,Architecture,Walls,Exterior Wall L -1 2184865,Production Order,2029-11-30
PO-000035:EXTW_2184993,2029-11-30 00:00:00,129.29,194.0,1.0,,L -1,Architecture,Walls,Exterior Wall L -1 2184993,Production Order,2029-11-30
PO-000036:EXTW_2185404,2029-11-30 00:00:00,129.29,194.0,1.0,,L -1,Architecture,Walls,Exterior Wall L -1 2185404,Production Order,2029-11-30
PO-000037:EXTW_2185605,2029-11-30 00:00:00,129.29,194.0,1.0,,L -1,Architecture,Walls,Exterior Wall L -1 2185605,Production Order,2029-11-30
PO-000038:EXTW_PREFAB_WALL_LNEG1_007,2029-11-30 00:00:00,29.39,44.0,1.0,L -1 Zone 1,L -1,Architecture,Walls,Exterior Wall L -1 PREFAB_WALL_LNEG1_007,Production Order,2029-11-30
PO-000039:EXTW_PREFAB_WALL_LNEG1_008,2029-11-30 00:00:00,275.06,413.0,1.0,,L -1,Architecture,Walls,Exterior Wall L -1 PREFAB_WALL_LNEG1_008,Production Order,2029-11-30
PO-000040:EXTW_PREFAB_WALL_LNEG1_009,2029-11-30 00:00:00,93.83,141.0,1.0,L -1 Zone 2,L -1,Architecture,Walls,Exterior Wall L -1 PREFAB_WALL_LNEG1_009,Production Order,2029-11-30
PO-000041:EXTW_PREFAB_WALL_LNEG1_010,2029-11-30 00:00:00,113.72,171.0,1.0,L -1 Zone 2,L -1,Architecture,Walls,Exterior Wall L -1 PREFAB_WALL_LNEG1_010,Production Order,2029-11-30
PO-000042:EXTW_PREFAB_WALL_LNEG1_011,2029-11-30 00:00:00,23.92,36.0,1.0,,L -1,Architecture,Walls,Exterior Wall L -1 PREFAB_WALL_LNEG1_011,Production Order,2029-11-30
PO-000043:SL0W-LNEG1C-WALL,2029-11-30 00:00:00,502.58,1925.0,88.0,L -1 Zone 4|L -1 Zone 5,L -1,Architecture,Curtain Panels|Curtain Wall Mullions|Walls,South-L0-Workshop wall part & South-L-1-Classrooms wall,Production Order,2029-11-30
PO-000044:STRUCT_FLOOR_L_0_BAMBOO_6_0_6_STRUCTURAL_BAMBOO_CLB,2029-11-30 00:00:00,0.0,0.0,13.0,,,,,"Structural Floor L 0 | Bamboo - 6"" | 0' - 6"" | Structural Bamboo (CLB) assembly",Production Order,2029-11-30
