date,needed_volume_cf,needed_storage_area_sf,needed_element_count,delivered_volume_cf,delivered_storage_area_sf,delivered_element_count,window,peak_on_site_volume_cf,end_of_day_inventory_cf,peak_on_site_storage_area_sf,end_of_day_storage_area_sf,peak_on_site_element_count,end_of_day_element_count
2029-11-09,800.0,0.0,2.0,800.0,0.0,2.0,1 day,800.0,0.0,0.0,0.0,2.0,0.0
2029-11-10,0.0,0.0,0.0,0.0,0.0,0.0,1 day,0.0,0.0,0.0,0.0,0.0,0.0
2029-11-11,0.0,0.0,0.0,0.0,0.0,0.0,1 day,0.0,0.0,0.0,0.0,0.0,0.0
2029-11-12,1600.0,0.0,4.0,1600.0,0.0,4.0,1 day,1600.0,0.0,0.0,0.0,4.0,0.0
2029-11-13,0.0,0.0,0.0,0.0,0.0,0.0,1 day,0.0,0.0,0.0,0.0,0.0,0.0
2029-11-14,0.0,0.0,0.0,0.0,0.0,0.0,1 day,0.0,0.0,0.0,0.0,0.0,0.0
2029-11-15,0.0,0.0,0.0,0.0,0.0,0.0,1 day,0.0,0.0,0.0,0.0,0.0,0.0
2029-11-16,0.0,0.0,0.0,0.0,0.0,0.0,1 day,0.0,0.0,0.0,0.0,0.0,0.0
2029-11-17,0.0,0.0,0.0,0.0,0.0,0.0,1 day,0.0,0.0,0.0,0.0,0.0,0.0
2029-11-18,0.0,0.0,0.0,0.0,0.0,0.0,1 day,0.0,0.0,0.0,0.0,0.0,0.0
2029-11-19,3054.05,0.0,50.0,3054.05,0.0,50.0,1 day,3054.05,0.0,0.0,0.0,50.0,0.0
2029-11-20,1156.08,0.0,33.0,1156.08,0.0,33.0,1 day,1156.08,0.0,0.0,0.0,33.0,0.0
2029-11-21,2752.16,0.0,12.0,2752.16,0.0,12.0,1 day,2752.16,0.0,0.0,0.0,12.0,0.0
2029-11-22,3600.0,0.0,9.0,3600.0,0.0,9.0,1 day,3600.0,0.0,0.0,0.0,9.0,0.0
2029-11-23,0.0,0.0,0.0,0.0,0.0,0.0,1 day,0.0,0.0,0.0,0.0,0.0,0.0
2029-11-24,0.0,0.0,0.0,0.0,0.0,0.0,1 day,0.0,0.0,0.0,0.0,0.0,0.0
2029-11-25,0.0,0.0,0.0,0.0,0.0,0.0,1 day,0.0,0.0,0.0,0.0,0.0,0.0
2029-11-26,856.94,0.0,5.0,856.94,0.0,5.0,1 day,856.94,0.0,0.0,0.0,5.0,0.0
2029-11-27,455.52,0.0,24.0,455.52,0.0,24.0,1 day,455.52,0.0,0.0,0.0,24.0,0.0
2029-11-28,803.5199999999999,0.0,24.0,803.5199999999999,0.0,24.0,1 day,803.5199999999999,0.0,0.0,0.0,24.0,0.0
2029-11-29,0.0,0.0,24.0,0.0,0.0,24.0,1 day,0.0,0.0,0.0,0.0,24.0,0.0
2029-11-30,1685.56,3701.0,111.0,1685.56,3701.0,111.0,1 day,1685.56,0.0,3701.0,0.0,111.0,0.0
2029-12-01,0.0,0.0,0.0,0.0,0.0,0.0,1 day,0.0,0.0,0.0,0.0,0.0,0.0
2029-12-02,0.0,0.0,0.0,0.0,0.0,0.0,1 day,0.0,0.0,0.0,0.0,0.0,0.0
2029-12-03,1178.49,1353.0,112.0,1178.49,1353.0,112.0,1 day,1178.49,0.0,1353.0,0.0,112.0,0.0
2029-12-04,2550.73,1948.0,133.0,2550.73,1948.0,133.0,1 day,2550.73,0.0,1948.0,0.0,133.0,0.0
2029-12-05,1219.1100000000001,3068.0,112.0,1219.1100000000001,3068.0,112.0,1 day,1219.1100000000001,0.0,3068.0,0.0,112.0,0.0
2029-12-06,1.72,20.0,96.0,1.72,20.0,96.0,1 day,1.72,0.0,20.0,0.0,96.0,0.0
2029-12-07,1678.79,6628.0,370.0,1678.79,6628.0,370.0,1 day,1678.79,0.0,6628.0,0.0,370.0,0.0
2029-12-08,0.0,0.0,0.0,0.0,0.0,0.0,1 day,0.0,0.0,0.0,0.0,0.0,0.0
2029-12-09,0.0,0.0,0.0,0.0,0.0,0.0,1 day,0.0,0.0,0.0,0.0,0.0,0.0
2029-12-10,1122.82,1266.0,161.0,1122.82,1266.0,161.0,1 day,1122.82,0.0,1266.0,0.0,161.0,0.0
2029-12-11,2714.67,2274.0,133.0,2714.67,2274.0,133.0,1 day,2714.67,0.0,2274.0,0.0,133.0,0.0
2029-12-12,2099.31,1151.0,126.0,2099.31,1151.0,126.0,1 day,2099.31,0.0,1151.0,0.0,126.0,0.0
2029-12-13,8.040000000000001,158.0,92.0,8.040000000000001,158.0,92.0,1 day,8.040000000000001,0.0,158.0,0.0,92.0,0.0
2029-12-14,0.0,0.0,24.0,0.0,0.0,24.0,1 day,0.0,0.0,0.0,0.0,24.0,0.0
2029-12-15,0.0,0.0,0.0,0.0,0.0,0.0,1 day,0.0,0.0,0.0,0.0,0.0,0.0
2029-12-16,0.0,0.0,0.0,0.0,0.0,0.0,1 day,0.0,0.0,0.0,0.0,0.0,0.0
2029-12-17,1165.5,5826.0,335.0,1165.5,5826.0,335.0,1 day,1165.5,0.0,5826.0,0.0,335.0,0.0
2029-12-18,1158.52,1740.0,88.0,1158.52,1740.0,88.0,1 day,1158.52,0.0,1740.0,0.0,88.0,0.0
2029-12-19,916.94,1559.0,88.0,916.94,1559.0,88.0,1 day,916.94,0.0,1559.0,0.0,88.0,0.0
2029-12-20,385.97999999999996,662.0,88.0,385.97999999999996,662.0,88.0,1 day,385.97999999999996,0.0,662.0,0.0,88.0,0.0
2029-12-21,990.2099999999999,1676.0,88.0,990.2099999999999,1676.0,88.0,1 day,990.2099999999999,0.0,1676.0,0.0,88.0,0.0
2029-12-22,0.0,0.0,0.0,0.0,0.0,0.0,1 day,0.0,0.0,0.0,0.0,0.0,0.0
2029-12-23,0.0,0.0,0.0,0.0,0.0,0.0,1 day,0.0,0.0,0.0,0.0,0.0,0.0
2029-12-24,1277.3700000000001,1931.0,88.0,1277.3700000000001,1931.0,88.0,1 day,1277.3700000000001,0.0,1931.0,0.0,88.0,0.0
2029-12-25,2139.15,7654.0,86.0,2139.15,7654.0,86.0,1 day,2139.15,0.0,7654.0,0.0,86.0,0.0
2029-12-26,6.6000000000000005,142.0,72.0,6.6000000000000005,142.0,72.0,1 day,6.6000000000000005,0.0,142.0,0.0,72.0,0.0
2029-12-27,0.0,41.0,72.0,0.0,41.0,72.0,1 day,0.0,0.0,41.0,0.0,72.0,0.0
2029-12-28,0.0,0.0,72.0,0.0,0.0,72.0,1 day,0.0,0.0,0.0,0.0,72.0,0.0
2029-12-29,0.0,0.0,0.0,0.0,0.0,0.0,1 day,0.0,0.0,0.0,0.0,0.0,0.0
2029-12-30,0.0,0.0,0.0,0.0,0.0,0.0,1 day,0.0,0.0,0.0,0.0,0.0,0.0
2029-12-31,5.0,48.0,55.0,5.0,48.0,55.0,1 day,5.0,0.0,48.0,0.0,55.0,0.0
2030-01-01,43.39,513.0,32.0,43.39,513.0,32.0,1 day,43.39,0.0,513.0,0.0,32.0,0.0
2030-01-02,16.81,158.0,32.0,16.81,158.0,32.0,1 day,16.81,0.0,158.0,0.0,32.0,0.0
2030-01-03,12.2,96.0,32.0,12.2,96.0,32.0,1 day,12.2,0.0,96.0,0.0,32.0,0.0
2030-01-04,11.83,92.0,32.0,11.83,92.0,32.0,1 day,11.83,0.0,92.0,0.0,32.0,0.0
2030-01-05,0.0,0.0,0.0,0.0,0.0,0.0,1 day,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-06,0.0,0.0,0.0,0.0,0.0,0.0,1 day,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-07,14.08,126.0,32.0,14.08,126.0,32.0,1 day,14.08,0.0,126.0,0.0,32.0,0.0
2030-01-08,19.32,194.0,32.0,19.32,194.0,32.0,1 day,19.32,0.0,194.0,0.0,32.0,0.0
2030-01-09,9.110000000000001,821.0,19.0,9.110000000000001,821.0,19.0,1 day,9.110000000000001,0.0,821.0,0.0,19.0,0.0
2030-01-10,5.28,1024.0,16.0,5.28,1024.0,16.0,1 day,5.28,0.0,1024.0,0.0,16.0,0.0
2030-01-11,5.28,1024.0,16.0,5.28,1024.0,16.0,1 day,5.28,0.0,1024.0,0.0,16.0,0.0
2030-01-12,0.0,0.0,0.0,0.0,0.0,0.0,1 day,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-13,0.0,0.0,0.0,0.0,0.0,0.0,1 day,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-14,5.28,1024.0,16.0,5.28,1024.0,16.0,1 day,5.28,0.0,1024.0,0.0,16.0,0.0
2030-01-15,5.28,1024.0,16.0,5.28,1024.0,16.0,1 day,5.28,0.0,1024.0,0.0,16.0,0.0
2030-01-16,5.28,1024.0,16.0,5.28,1024.0,16.0,1 day,5.28,0.0,1024.0,0.0,16.0,0.0
2029-11-09,800.0,0.0,2.0,800.0,0.0,2.0,1 week,800.0,0.0,0.0,0.0,2.0,0.0
2029-11-10,0.0,0.0,0.0,0.0,0.0,0.0,1 week,0.0,0.0,0.0,0.0,0.0,0.0
2029-11-11,0.0,0.0,0.0,0.0,0.0,0.0,1 week,0.0,0.0,0.0,0.0,0.0,0.0
2029-11-12,1600.0,0.0,4.0,1600.0,0.0,4.0,1 week,1600.0,0.0,0.0,0.0,4.0,0.0
2029-11-13,0.0,0.0,0.0,0.0,0.0,0.0,1 week,0.0,0.0,0.0,0.0,0.0,0.0
2029-11-14,0.0,0.0,0.0,0.0,0.0,0.0,1 week,0.0,0.0,0.0,0.0,0.0,0.0
2029-11-15,0.0,0.0,0.0,0.0,0.0,0.0,1 week,0.0,0.0,0.0,0.0,0.0,0.0
2029-11-16,0.0,0.0,0.0,0.0,0.0,0.0,1 week,0.0,0.0,0.0,0.0,0.0,0.0
2029-11-17,0.0,0.0,0.0,0.0,0.0,0.0,1 week,0.0,0.0,0.0,0.0,0.0,0.0
2029-11-18,0.0,0.0,0.0,0.0,0.0,0.0,1 week,0.0,0.0,0.0,0.0,0.0,0.0
2029-11-19,3054.05,0.0,50.0,10562.29,0.0,104.0,1 week,10562.29,7508.240000000001,0.0,0.0,104.0,54.0
2029-11-20,1156.08,0.0,33.0,0.0,0.0,0.0,1 week,7508.240000000001,6352.160000000001,0.0,0.0,54.0,21.0
2029-11-21,2752.16,0.0,12.0,0.0,0.0,0.0,1 week,6352.160000000001,3600.000000000001,0.0,0.0,21.0,9.0
2029-11-22,3600.0,0.0,9.0,0.0,0.0,0.0,1 week,3600.000000000001,9.094947017729282e-13,0.0,0.0,9.0,0.0
2029-11-23,0.0,0.0,0.0,0.0,0.0,0.0,1 week,9.094947017729282e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0
2029-11-24,0.0,0.0,0.0,0.0,0.0,0.0,1 week,9.094947017729282e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0
2029-11-25,0.0,0.0,0.0,0.0,0.0,0.0,1 week,9.094947017729282e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0
2029-11-26,856.94,0.0,5.0,3801.54,3701.0,188.0,1 week,3801.540000000001,2944.600000000001,3701.0,3701.0,188.0,183.0
2029-11-27,455.52,0.0,24.0,0.0,0.0,0.0,1 week,2944.600000000001,2489.080000000001,3701.0,3701.0,183.0,159.0
2029-11-28,803.5199999999999,0.0,24.0,0.0,0.0,0.0,1 week,2489.080000000001,1685.5600000000009,3701.0,3701.0,159.0,135.0
2029-11-29,0.0,0.0,24.0,0.0,0.0,0.0,1 week,1685.5600000000009,1685.5600000000009,3701.0,3701.0,135.0,111.0
2029-11-30,1685.56,3701.0,111.0,0.0,0.0,0.0,1 week,1685.5600000000009,9.094947017729282e-13,3701.0,0.0,111.0,0.0
2029-12-01,0.0,0.0,0.0,0.0,0.0,0.0,1 week,9.094947017729282e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0
2029-12-02,0.0,0.0,0.0,0.0,0.0,0.0,1 week,9.094947017729282e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0
2029-12-03,1178.49,1353.0,112.0,6628.84,13017.0,823.0,1 week,6628.840000000001,5450.350000000001,13017.0,11664.0,823.0,711.0
2029-12-04,2550.73,1948.0,133.0,0.0,0.0,0.0,1 week,5450.350000000001,2899.6200000000013,11664.0,9716.0,711.0,578.0
2029-12-05,1219.1100000000001,3068.0,112.0,0.0,0.0,0.0,1 week,2899.6200000000013,1680.5100000000011,9716.0,6648.0,578.0,466.0
2029-12-06,1.72,20.0,96.0,0.0,0.0,0.0,1 week,1680.5100000000011,1678.790000000001,6648.0,6628.0,466.0,370.0
2029-12-07,1678.79,6628.0,370.0,0.0,0.0,0.0,1 week,1678.790000000001,1.1368683772161603e-12,6628.0,0.0,370.0,0.0
2029-12-08,0.0,0.0,0.0,0.0,0.0,0.0,1 week,1.1368683772161603e-12,1.1368683772161603e-12,0.0,0.0,0.0,0.0
2029-12-09,0.0,0.0,0.0,0.0,0.0,0.0,1 week,1.1368683772161603e-12,1.1368683772161603e-12,0.0,0.0,0.0,0.0
2029-12-10,1122.82,1266.0,161.0,5944.84,4849.0,536.0,1 week,5944.840000000001,4822.020000000001,4849.0,3583.0,536.0,375.0
2029-12-11,2714.67,2274.0,133.0,0.0,0.0,0.0,1 week,4822.020000000001,2107.3500000000013,3583.0,1309.0,375.0,242.0
2029-12-12,2099.31,1151.0,126.0,0.0,0.0,0.0,1 week,2107.3500000000013,8.040000000001328,1309.0,158.0,242.0,116.0
2029-12-13,8.040000000000001,158.0,92.0,0.0,0.0,0.0,1 week,8.040000000001328,1.326938559031987e-12,158.0,0.0,116.0,24.0
2029-12-14,0.0,0.0,24.0,0.0,0.0,0.0,1 week,1.326938559031987e-12,1.326938559031987e-12,0.0,0.0,24.0,0.0
2029-12-15,0.0,0.0,0.0,0.0,0.0,0.0,1 week,1.326938559031987e-12,1.326938559031987e-12,0.0,0.0,0.0,0.0
2029-12-16,0.0,0.0,0.0,0.0,0.0,0.0,1 week,1.326938559031987e-12,1.326938559031987e-12,0.0,0.0,0.0,0.0
2029-12-17,1165.5,5826.0,335.0,4617.15,11463.0,687.0,1 week,4617.150000000001,3451.6500000000005,11463.0,5637.0,687.0,352.0
2029-12-18,1158.52,1740.0,88.0,0.0,0.0,0.0,1 week,3451.6500000000005,2293.1300000000006,5637.0,3897.0,352.0,264.0
2029-12-19,916.94,1559.0,88.0,0.0,0.0,0.0,1 week,2293.1300000000006,1376.1900000000005,3897.0,2338.0,264.0,176.0
2029-12-20,385.97999999999996,662.0,88.0,0.0,0.0,0.0,1 week,1376.1900000000005,990.2100000000005,2338.0,1676.0,176.0,88.0
2029-12-21,990.2099999999999,1676.0,88.0,0.0,0.0,0.0,1 week,990.2100000000005,5.684341886080801e-13,1676.0,0.0,88.0,0.0
