date,production_order_count,window
2029-11-09,1,1 day
2029-11-10,0,1 day
2029-11-11,0,1 day
2029-11-12,1,1 day
2029-11-13,0,1 day
2029-11-14,0,1 day
2029-11-15,0,1 day
2029-11-16,0,1 day
2029-11-17,0,1 day
2029-11-18,0,1 day
2029-11-19,6,1 day
2029-11-20,5,1 day
2029-11-21,4,1 day
2029-11-22,1,1 day
2029-11-23,0,1 day
2029-11-24,0,1 day
2029-11-25,0,1 day
2029-11-26,2,1 day
2029-11-27,1,1 day
2029-11-28,10,1 day
2029-11-29,1,1 day
2029-11-30,12,1 day
2029-12-01,0,1 day
2029-12-02,0,1 day
2029-12-03,26,1 day
2029-12-04,34,1 day
2029-12-05,27,1 day
2029-12-06,25,1 day
2029-12-07,43,1 day
2029-12-08,0,1 day
2029-12-09,0,1 day
2029-12-10,44,1 day
2029-12-11,34,1 day
2029-12-12,31,1 day
2029-12-13,24,1 day
2029-12-14,1,1 day
2029-12-15,0,1 day
2029-12-16,0,1 day
2029-12-17,24,1 day
2029-12-18,25,1 day
2029-12-19,25,1 day
2029-12-20,25,1 day
2029-12-21,25,1 day
2029-12-22,0,1 day
2029-12-23,0,1 day
2029-12-24,25,1 day
2029-12-25,25,1 day
2029-12-26,24,1 day
2029-12-27,24,1 day
2029-12-28,24,1 day
2029-12-29,0,1 day
2029-12-30,0,1 day
2029-12-31,16,1 day
2030-01-01,0,1 day
2030-01-02,0,1 day
2030-01-03,0,1 day
2030-01-04,0,1 day
2030-01-05,0,1 day
2030-01-06,0,1 day
2030-01-07,0,1 day
2030-01-08,0,1 day
2030-01-09,1,1 day
2030-01-10,1,1 day
2030-01-11,1,1 day
2030-01-12,0,1 day
2030-01-13,0,1 day
2030-01-14,1,1 day
2030-01-15,1,1 day
2030-01-16,1,1 day
2029-11-09,1,3 days
2029-11-10,0,3 days
2029-11-11,0,3 days
2029-11-12,1,3 days
2029-11-13,0,3 days
2029-11-14,0,3 days
2029-11-15,0,3 days
2029-11-16,0,3 days
2029-11-17,0,3 days
2029-11-18,11,3 days
2029-11-19,0,3 days
2029-11-20,0,3 days
2029-11-21,5,3 days
2029-11-22,0,3 days
2029-11-23,0,3 days
2029-11-24,2,3 days
2029-11-25,0,3 days
2029-11-26,0,3 days
2029-11-27,12,3 days
2029-11-28,0,3 days
2029-11-29,0,3 days
2029-11-30,12,3 days
2029-12-01,0,3 days
2029-12-02,0,3 days
2029-12-03,87,3 days
2029-12-04,0,3 days
2029-12-05,0,3 days
2029-12-06,68,3 days
2029-12-07,0,3 days
2029-12-08,0,3 days
2029-12-09,78,3 days
2029-12-10,0,3 days
2029-12-11,0,3 days
2029-12-12,56,3 days
2029-12-13,0,3 days
2029-12-14,0,3 days
2029-12-15,24,3 days
2029-12-16,0,3 days
2029-12-17,0,3 days
2029-12-18,75,3 days
2029-12-19,0,3 days
2029-12-20,0,3 days
2029-12-21,25,3 days
2029-12-22,0,3 days
2029-12-23,0,3 days
2029-12-24,74,3 days
2029-12-25,0,3 days
2029-12-26,0,3 days
2029-12-27,48,3 days
2029-12-28,0,3 days
2029-12-29,0,3 days
2029-12-30,16,3 days
2029-12-31,0,3 days
2030-01-01,0,3 days
2030-01-02,0,3 days
2030-01-03,0,3 days
2030-01-04,0,3 days
2030-01-05,0,3 days
2030-01-06,0,3 days
2030-01-07,0,3 days
2030-01-08,2,3 days
2030-01-09,0,3 days
2030-01-10,0,3 days
2030-01-11,1,3 days
2030-01-12,0,3 days
2030-01-13,0,3 days
2030-01-14,3,3 days
2030-01-15,0,3 days
2030-01-16,0,3 days
2029-11-09,1,1 week
2029-11-10,0,1 week
2029-11-11,0,1 week
2029-11-12,1,1 week
2029-11-13,0,1 week
2029-11-14,0,1 week
2029-11-15,0,1 week
2029-11-16,0,1 week
2029-11-17,0,1 week
2029-11-18,0,1 week
2029-11-19,16,1 week
2029-11-20,0,1 week
2029-11-21,0,1 week
2029-11-22,0,1 week
2029-11-23,0,1 week
2029-11-24,0,1 week
2029-11-25,0,1 week
2029-11-26,26,1 week
2029-11-27,0,1 week
2029-11-28,0,1 week
2029-11-29,0,1 week
2029-11-30,0,1 week
2029-12-01,0,1 week
2029-12-02,0,1 week
2029-12-03,155,1 week
2029-12-04,0,1 week
2029-12-05,0,1 week
2029-12-06,0,1 week
2029-12-07,0,1 week
2029-12-08,0,1 week
2029-12-09,0,1 week
2029-12-10,134,1 week
2029-12-11,0,1 week
2029-12-12,0,1 week
2029-12-13,0,1 week
2029-12-14,0,1 week
2029-12-15,0,1 week
2029-12-16,0,1 week
2029-12-17,124,1 week
2029-12-18,0,1 week
2029-12-19,0,1 week
2029-12-20,0,1 week
2029-12-21,0,1 week
2029-12-22,0,1 week
2029-12-23,0,1 week
2029-12-24,122,1 week
2029-12-25,0,1 week
2029-12-26,0,1 week
2029-12-27,0,1 week
2029-12-28,0,1 week
2029-12-29,0,1 week
2029-12-30,0,1 week
2029-12-31,16,1 week
2030-01-01,0,1 week
2030-01-02,0,1 week
2030-01-03,0,1 week
2030-01-04,0,1 week
2030-01-05,0,1 week
2030-01-06,0,1 week
2030-01-07,3,1 week
2030-01-08,0,1 week
2030-01-09,0,1 week
2030-01-10,0,1 week
2030-01-11,0,1 week
2030-01-12,0,1 week
2030-01-13,0,1 week
2030-01-14,3,1 week
2030-01-15,0,1 week
2030-01-16,0,1 week
