room_takt_id,room_id,room_number,room_name,level,area_sf,volume_cf,location_x_ft,location_y_ft,location_z_ft,boundary_segments
L -1 Room 117,1437284,117,Room Name 117,L -1,2061.427,20592.796,79.34,155.177,-15,42
L -1 Room 193,1773253,193,Room Name 193,L -1,22.58,225.563,113.726,186.224,-15,4
L -1 Room 194,1773254,194,Room Name 194,L -1,273.947,2736.637,68.688,191.645,-15,12
L -1 Room 196,1773256,196,Room Name 196,L -1,406.151,4057.31,30.298,191.416,-15,13
L 0 Room 110,1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,52
L 0 Room 184,1773232,184,Room Name 184,L 0,22.58,225.563,113.726,186.224,0,4
L 0 Room 187,1773235,187,Room Name 187,L 0,3235.791,32324.209,73.802,181.001,0,66
L 0 Room 191,1773239,191,Room Name 191,L 0,203.823,2036.106,117.34,162.416,0,14
L 0 Room 213,1773631,213,Room Name 213,L 0,3276.532,32722.149,95.191,230.099,0,29
L 1 Room 142,1440368,142,Room Name 142,L 1,133.993,1231.423,73.798,164.749,15,10
L 1 Room 143,1440369,143,Room Name 143,L 1,131.486,1206.379,88.298,164.749,15,6
L 1 Room 145,1440371,145,Room Name 145,L 1,133.993,1231.423,102.798,164.749,15,10
L 1 Room 146,1440372,146,Room Name 146,L 1,108.025,991.131,2.798,155.67,15,8
L 1 Room 150,1440376,150,Room Name 150,L 1,5587.212,,27.081,178.781,15,223
L 1 Room 154,1440380,154,Room Name 154,L 1,85.951,787.214,62.048,204.02,15,9
L 1 Room 155,1440381,155,Room Name 155,L 1,85.687,784.741,52.048,204.02,15,4
L 1 Room 156,1440382,156,Room Name 156,L 1,85.687,784.576,42.382,204.02,15,4
L 1 Room 157,1440383,157,Room Name 157,L 1,85.687,784.576,32.715,204.02,15,4
L 1 Room 158,1440384,158,Room Name 158,L 1,85.687,784.576,23.048,204.02,15,4
L 1 Room 159,1440385,159,Room Name 159,L 1,85.687,784.576,13.382,204.02,15,4
L 1 Room 162,1440388,162,Room Name 162,L 1,85.588,783.668,3.548,204.02,15,4
L 1 Room 163,1440389,163,Room Name 163,L 1,3267.206,32670.6,95.319,227.666,15,30
L 1 Room 168,1440394,168,Room Name 168,L 1,77.636,710.852,3.194,135.729,15,4
L 1 Room 169,1440395,169,Room Name 169,L 1,80.906,740.954,13.048,135.729,15,6
L 1 Room 170,1440396,170,Room Name 170,L 1,81.094,742.827,22.715,135.729,15,8
L 1 Room 171,1440397,171,Room Name 171,L 1,80.719,739.081,32.382,135.729,15,4
L 1 Room 172,1440398,172,Room Name 172,L 1,80.906,740.954,42.048,135.729,15,6
L 1 Room 173,1440399,173,Room Name 173,L 1,81.094,742.905,51.715,135.729,15,8
L 1 Room 174,1440400,174,Room Name 174,L 1,80.719,739.159,61.382,135.729,15,4
L 1 Room 175,1440401,175,Room Name 175,L 1,80.906,741.032,71.048,135.729,15,6
L 1 Room 176,1440402,176,Room Name 176,L 1,81.094,742.905,80.715,135.729,15,8
L 1 Room 177,1440403,177,Room Name 177,L 1,80.719,739.159,90.382,135.729,15,4
L 1 Room 178,1440404,178,Room Name 178,L 1,80.906,740.954,100.048,135.729,15,6
L 1 Room 179,1440405,179,Room Name 179,L 1,83.708,766.535,119.548,135.729,15,4
L 1 Room 180,1440406,180,Room Name 180,L 1,81.094,742.905,109.715,135.729,15,8
L 1 Room 199,1773267,199,Room Name 199,L 1,72.201,653.086,64.548,191.416,15,6
L 1 Room 201,1773269,201,Room Name 201,L 1,71.472,656.819,30.298,152.583,15,4
L 1 Room 202,1773270,202,Room Name 202,L 1,81.655,748.526,129.215,135.749,15,4
L 1 Room 206,1773274,206,Room Name 206,L 1,128.388,1181.208,129.847,191.437,15,9
L 1 Room 210,1773278,210,Room Name 210,L 1,137.347,1264.284,117.298,164.749,15,15
L 1 Room 211,1773440,211,Room Name 211,L 1,143.434,1290.128,83.425,191.273,15,8
