element_id,discipline,category,family,type,level,base_level,top_level,mark,system_name,system_type,service_type,classification,assembly_code,assembly_description,material,size,width,height,length,depth,area,volume,takt_id
1798373,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1798385,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1798518,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1798523,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1798525,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1798527,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1798776,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1798779,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1798781,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1798783,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1799149,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1799152,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1799154,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1799156,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1799378,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1799381,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1799383,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1799385,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1799526,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1799529,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1799531,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1799533,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
