ElementId,Category,Family,Type,Original Category,Original Family,Original Type,Level,Mark,Assembly Code,Assembly Description,Length,Width,Depth,Height,Area,Volume,Weight,Unit Weight,Material,Type Comments,Base Level,Top Level,Base Offset,Top Offset,Location Type,Position X (ft),Position Y (ft),Position Z (ft),Start X (ft),Start Y (ft),Start Z (ft),End X (ft),End Y (ft),End Z (ft),Rotation (deg),Bounding Box Min X (ft),Bounding Box Min Y (ft),Bounding Box Min Z (ft),Bounding Box Max X (ft),Bounding Box Max Y (ft),Bounding Box Max Z (ft),Bounding Box Center X (ft),Bounding Box Center Y (ft),Bounding Box Center Z (ft),Room Id,Room Number,Room Name,Room Level,Room Area (SF),Room Volume (CF),Room Location X (ft),Room Location Y (ft),Room Location Z (ft),Comments,Parameter Snapshot
1241457,Floors,,"Generic - 12""",,,,L -1,,A1010,Standard Foundations,,,"1' - 0""","1' - 0""",6848 SF,6847.99 CF,,,Default Floor,,,,,,BoundingBox,66.517,169.468,-15.5,,,,,,,,7.819,139.937,-16,125.215,198.999,-15,66.517,169.468,-15.5,,,,,,,,,,,"Area=6848 SF | Assembly Code=A1010 | Assembly Description=Standard Foundations | Default Thickness=1' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 12"" | Height Offset From Level=0' - 0"" | Level=L -1 | Related to Mass=False | Thickness=1' - 0"" | Type=Generic - 12"" | Type Id=Generic - 12"" | Type IfcGUID=1xZrMVYp52mhf4uMzw11Hi | Type Mark=G01 | Type Name=Generic - 12"" | Volume=6847.99 CF"
1249235,Walls,,"Generic - 8"" - EXTERIOR",,,,L 1,,B2010,Exterior Walls,"9' - 7 3/4""","0' - 8 1/4""",,,48 SF,33.13 CF,,,"Default Wall; Concrete, Cast-in-Place gray; Bamboo",,,,"0' - 0""","-0' - 6""",Curve,-1.118,135.843,15,-1.118,140.666,15,-1.118,131.02,15,,-1.462,130.677,15,-0.775,140.666,26.5,-1.118,135.671,20.75,,,,,,,,,,,"Area=48 SF | Assembly Code=B2010 | Assembly Description=Exterior Walls | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - EXTERIOR | Length=9' - 7 3/4"" | Related to Mass=False | Thermal Mass=0.4694 BTU/(ft²·°F) | Top Offset=-0' - 6"" | Type=Generic - 8"" - EXTERIOR | Type Id=Generic - 8"" - EXTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijB | Type Mark=G06 | Type Name=Generic - 8"" - EXTERIOR | Unconnected Height=11' - 6"" | Volume=33.13 CF | Width=0' - 8 1/4"""
1249262,Walls,,"Generic - 8"" - INTERIOR",,,,L 1,,C1010,Partitions,"9' - 11 3/4""","0' - 8""",,,111 SF,73.95 CF,,,Default Wall; Bamboo,,,,"0' - 0""","-0' - 6""",Curve,8.215,135.677,15,8.215,140.666,15,8.215,130.687,15,,7.882,130.687,15,8.548,140.666,26.5,8.215,135.677,20.75,,,,,,,,,,,"Area=111 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=9' - 11 3/4"" | Related to Mass=False | Top Offset=-0' - 6"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=11' - 6"" | Volume=73.95 CF | Width=0' - 8"""
1249295,Walls,,"Generic - 8"" - INTERIOR",,,,L 1,,C1010,Partitions,"9' - 11 3/4""","0' - 8""",,,111 SF,73.95 CF,,,Default Wall; Bamboo,,,,"0' - 0""","-0' - 6""",Curve,17.882,135.677,15,17.882,140.666,15,17.882,130.687,15,,17.548,130.687,15,18.215,140.666,26.5,17.882,135.677,20.75,,,,,,,,,,,"Area=111 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=9' - 11 3/4"" | Related to Mass=False | Top Offset=-0' - 6"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=11' - 6"" | Volume=73.95 CF | Width=0' - 8"""
1249332,Walls,,"Generic - 8"" - INTERIOR",,,,L 1,,C1010,Partitions,"9' - 11 3/4""","0' - 8""",,,111 SF,73.95 CF,,,Default Wall; Bamboo,,,,"0' - 0""","-0' - 6""",Curve,27.548,135.677,15,27.548,140.666,15,27.548,130.687,15,,27.215,130.687,15,27.882,140.666,26.5,27.548,135.677,20.75,,,,,,,,,,,"Area=111 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=9' - 11 3/4"" | Related to Mass=False | Top Offset=-0' - 6"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=11' - 6"" | Volume=73.95 CF | Width=0' - 8"""
1249372,Walls,,"Generic - 8"" - INTERIOR",,,,L 1,,C1010,Partitions,"9' - 11 3/4""","0' - 8""",,,119 SF,79.06 CF,,,Default Wall; Bamboo,,,,"0' - 0""","-0' - 6""",Curve,37.215,135.677,15,37.215,140.666,15,37.215,130.687,15,,36.882,130.687,15,37.548,140.999,26.5,37.215,135.843,20.75,,,,,,,,,,,"Area=119 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=9' - 11 3/4"" | Related to Mass=False | Top Offset=-0' - 6"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=11' - 6"" | Volume=79.06 CF | Width=0' - 8"""
1249405,Walls,,"Generic - 8"" - INTERIOR",,,,L 1,,C1010,Partitions,"9' - 7 3/4""","0' - 8""",,,107 SF,71.40 CF,,,Default Wall; Bamboo,,,,"0' - 0""","-0' - 6""",Curve,46.882,135.843,15,46.882,140.666,15,46.882,131.02,15,,46.548,131.02,15,47.215,140.666,26.5,46.882,135.843,20.75,,,,,,,,,,,"Area=107 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=9' - 7 3/4"" | Related to Mass=False | Top Offset=-0' - 6"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=11' - 6"" | Volume=71.40 CF | Width=0' - 8"""
1249438,Walls,,"Generic - 8"" - INTERIOR",,,,L 1,,C1010,Partitions,"9' - 11 3/4""","0' - 8""",,,111 SF,73.95 CF,,,Default Wall; Bamboo,,,,"0' - 0""","-0' - 6""",Curve,56.548,135.677,15,56.548,140.666,15,56.548,130.687,15,,56.215,130.687,15,56.882,140.666,26.5,56.548,135.677,20.75,,,,,,,,,,,"Area=111 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=9' - 11 3/4"" | Related to Mass=False | Top Offset=-0' - 6"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=11' - 6"" | Volume=73.95 CF | Width=0' - 8"""
1249463,Walls,,"Generic - 8"" - INTERIOR",,,,L 1,,C1010,Partitions,"9' - 11 3/4""","0' - 8""",,,111 SF,73.95 CF,,,Default Wall; Bamboo,,,,"0' - 0""","-0' - 6""",Curve,66.215,135.677,15,66.215,140.666,15,66.215,130.687,15,,65.882,130.687,15,66.548,140.666,26.5,66.215,135.677,20.75,,,,,,,,,,,"Area=111 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=9' - 11 3/4"" | Related to Mass=False | Top Offset=-0' - 6"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=11' - 6"" | Volume=73.95 CF | Width=0' - 8"""
1249493,Walls,,"Generic - 8"" - INTERIOR",,,,L 1,,C1010,Partitions,"9' - 11 3/4""","0' - 8""",,,111 SF,73.95 CF,,,Default Wall; Bamboo,,,,"0' - 0""","-0' - 6""",Curve,75.882,135.677,15,75.882,140.666,15,75.882,130.687,15,,75.548,130.687,15,76.215,140.666,26.5,75.882,135.677,20.75,,,,,,,,,,,"Area=111 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=9' - 11 3/4"" | Related to Mass=False | Top Offset=-0' - 6"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=11' - 6"" | Volume=73.95 CF | Width=0' - 8"""
