activity_id,activity_name,task_id,task_name,level,start,finish,duration_hours,element_count,wbs_name,wbs_code
A1070_Basement_Site,A1070 Install Construction Fencing | Basement / Site,A1070,Install Construction Fencing,Basement / Site,2029-10-01 09:00:00.000000000,2029-10-04 11:00:00.000000000,74.0,1,SITE PREPARATION & DEMOLITION,project.SITE PREPARATION & DEMOLITION
A1080_Basement_Site,A1080 Install Site Office & Welfare Units | Basement / Site,A1080,Install Site Office & Welfare Units,Basement / Site,2029-10-04 11:00:00.000000000,2029-10-10 14:00:00.000000000,147.0,1,SITE PREPARATION & DEMOLITION,project.SITE PREPARATION & DEMOLITION
A1090_Basement_Site,A1090 Temporary Water Installation | Basement / Site,A1090,Temporary Water Installation,Basement / Site,2029-10-04 11:00:00.000000000,2029-10-09 13:00:00.000000000,122.0,1,SITE PREPARATION & DEMOLITION,project.SITE PREPARATION & DEMOLITION
A1100_Basement_Site,A1100 Temporary Power Installation | Basement / Site,A1100,Temporary Power Installation,Basement / Site,2029-10-04 11:00:00.000000000,2029-10-10 14:00:00.000000000,147.0,1,SITE PREPARATION & DEMOLITION,project.SITE PREPARATION & DEMOLITION
A1110_Basement_Site,A1110 Tree Removal & Clearing | Basement / Site,A1110,Tree Removal & Clearing,Basement / Site,2029-10-04 11:00:00.000000000,2029-10-11 15:00:00.000000000,172.0,1,SITE PREPARATION & DEMOLITION,project.SITE PREPARATION & DEMOLITION
A1120_Basement_Site,A1120 Bleacher Demolition | Basement / Site,A1120,Bleacher Demolition,Basement / Site,2029-10-04 11:00:00.000000000,2029-10-15 17:00:00.000000000,270.0,1,SITE PREPARATION & DEMOLITION,project.SITE PREPARATION & DEMOLITION
A1140_Basement_Site,A1140 Crane Pad Construction | Basement / Site,A1140,Crane Pad Construction,Basement / Site,2029-10-04 11:00:00.000000000,2029-10-11 15:00:00.000000000,172.0,1,SITE PREPARATION & DEMOLITION,project.SITE PREPARATION & DEMOLITION
A1150_Basement_Site,A1150 Laydown Area Preparation | Basement / Site,A1150,Laydown Area Preparation,Basement / Site,2029-10-16 09:00:00.000000000,2029-10-16 17:00:00.000000000,8.0,1,SITE PREPARATION & DEMOLITION,project.SITE PREPARATION & DEMOLITION
A1170_Basement_Site,A1170 Full Basement Excavation | Basement / Site,A1170,Full Basement Excavation,Basement / Site,2029-10-17 09:00:00.000000000,2029-10-26 15:00:00.000000000,222.0,1,EARTHWORK & BASEMENT,project.EARTHWORK & BASEMENT
A1180_Basement_Site,A1180 Shoring / Stabilization | Basement / Site,A1180,Shoring / Stabilization,Basement / Site,2029-10-26 15:00:00.000000000,2029-11-05 11:00:00.000000000,236.0,1,EARTHWORK & BASEMENT,project.EARTHWORK & BASEMENT
