task_id,task_name,micro_task_id,micro_task_name,element_id,element_key,source_model,level,category,family,type,coord_x_ft,coord_y_ft,coord_z_ft,takt_id,room_takt_id,room_id,room_number,room_name,prefab_group_id,order_in_task,batch_index,slot_index,slot_start,slot_end,element_start,element_end,scheduled_duration_hr,raw_duration_hr,slot_active_duration_hr,units_per_element,unit,productivity,productivity_dependency,parallel_count,crew_hours,macro_start,macro_end
A1070,Install Construction Fencing,install_construction_fencing,Install Construction Fencing,A1070,Non-BIM:A1070,Non-BIM,Basement / Site,Non-BIM,,Install Construction Fencing,0.0,0.0,0.0,,,,,,,1,1,1,2029-10-01T09:00:00,2029-10-01T09:30:00,2029-10-01T09:00:00,2029-10-04T11:00:00,26.0,26.0,0.5,26.0,hr,1.0,crew,1,"9,10,11,12,13,14,15,16,17",2029-10-01T09:00:00,2029-10-03T17:00:00
A1070,Install Construction Fencing,install_construction_fencing,Install Construction Fencing,A1070,Non-BIM:A1070,Non-BIM,Basement / Site,Non-BIM,,Install Construction Fencing,0.0,0.0,0.0,,,,,,,1,1,2,2029-10-01T09:30:00,2029-10-01T10:00:00,2029-10-01T09:00:00,2029-10-04T11:00:00,26.0,26.0,0.5,26.0,hr,1.0,crew,1,"9,10,11,12,13,14,15,16,17",2029-10-01T09:00:00,2029-10-03T17:00:00
A1070,Install Construction Fencing,install_construction_fencing,Install Construction Fencing,A1070,Non-BIM:A1070,Non-BIM,Basement / Site,Non-BIM,,Install Construction Fencing,0.0,0.0,0.0,,,,,,,1,1,3,2029-10-01T10:00:00,2029-10-01T10:30:00,2029-10-01T09:00:00,2029-10-04T11:00:00,26.0,26.0,0.5,26.0,hr,1.0,crew,1,"9,10,11,12,13,14,15,16,17",2029-10-01T09:00:00,2029-10-03T17:00:00
A1070,Install Construction Fencing,install_construction_fencing,Install Construction Fencing,A1070,Non-BIM:A1070,Non-BIM,Basement / Site,Non-BIM,,Install Construction Fencing,0.0,0.0,0.0,,,,,,,1,1,4,2029-10-01T10:30:00,2029-10-01T11:00:00,2029-10-01T09:00:00,2029-10-04T11:00:00,26.0,26.0,0.5,26.0,hr,1.0,crew,1,"9,10,11,12,13,14,15,16,17",2029-10-01T09:00:00,2029-10-03T17:00:00
A1070,Install Construction Fencing,install_construction_fencing,Install Construction Fencing,A1070,Non-BIM:A1070,Non-BIM,Basement / Site,Non-BIM,,Install Construction Fencing,0.0,0.0,0.0,,,,,,,1,1,5,2029-10-01T11:00:00,2029-10-01T11:30:00,2029-10-01T09:00:00,2029-10-04T11:00:00,26.0,26.0,0.5,26.0,hr,1.0,crew,1,"9,10,11,12,13,14,15,16,17",2029-10-01T09:00:00,2029-10-03T17:00:00
A1070,Install Construction Fencing,install_construction_fencing,Install Construction Fencing,A1070,Non-BIM:A1070,Non-BIM,Basement / Site,Non-BIM,,Install Construction Fencing,0.0,0.0,0.0,,,,,,,1,1,6,2029-10-01T11:30:00,2029-10-01T12:00:00,2029-10-01T09:00:00,2029-10-04T11:00:00,26.0,26.0,0.5,26.0,hr,1.0,crew,1,"9,10,11,12,13,14,15,16,17",2029-10-01T09:00:00,2029-10-03T17:00:00
A1070,Install Construction Fencing,install_construction_fencing,Install Construction Fencing,A1070,Non-BIM:A1070,Non-BIM,Basement / Site,Non-BIM,,Install Construction Fencing,0.0,0.0,0.0,,,,,,,1,1,7,2029-10-01T12:00:00,2029-10-01T12:30:00,2029-10-01T09:00:00,2029-10-04T11:00:00,26.0,26.0,0.5,26.0,hr,1.0,crew,1,"9,10,11,12,13,14,15,16,17",2029-10-01T09:00:00,2029-10-03T17:00:00
A1070,Install Construction Fencing,install_construction_fencing,Install Construction Fencing,A1070,Non-BIM:A1070,Non-BIM,Basement / Site,Non-BIM,,Install Construction Fencing,0.0,0.0,0.0,,,,,,,1,1,8,2029-10-01T12:30:00,2029-10-01T13:00:00,2029-10-01T09:00:00,2029-10-04T11:00:00,26.0,26.0,0.5,26.0,hr,1.0,crew,1,"9,10,11,12,13,14,15,16,17",2029-10-01T09:00:00,2029-10-03T17:00:00
A1070,Install Construction Fencing,install_construction_fencing,Install Construction Fencing,A1070,Non-BIM:A1070,Non-BIM,Basement / Site,Non-BIM,,Install Construction Fencing,0.0,0.0,0.0,,,,,,,1,1,9,2029-10-01T13:00:00,2029-10-01T13:30:00,2029-10-01T09:00:00,2029-10-04T11:00:00,26.0,26.0,0.5,26.0,hr,1.0,crew,1,"9,10,11,12,13,14,15,16,17",2029-10-01T09:00:00,2029-10-03T17:00:00
A1070,Install Construction Fencing,install_construction_fencing,Install Construction Fencing,A1070,Non-BIM:A1070,Non-BIM,Basement / Site,Non-BIM,,Install Construction Fencing,0.0,0.0,0.0,,,,,,,1,1,10,2029-10-01T13:30:00,2029-10-01T14:00:00,2029-10-01T09:00:00,2029-10-04T11:00:00,26.0,26.0,0.5,26.0,hr,1.0,crew,1,"9,10,11,12,13,14,15,16,17",2029-10-01T09:00:00,2029-10-03T17:00:00
