build_code,assembly_id
Exterior Wall Install | L -1 | PREFAB_WALL_LNEG1_001,SL0W-LNEG1C-WALL
Exterior Wall Install | L -1 | PREFAB_WALL_LNEG1_002,SL0W-LNEG1C-WALL
Exterior Wall Install | L -1 | PREFAB_WALL_LNEG1_003,SL0W-LNEG1C-WALL
Exterior Wall Install | L -1 | PREFAB_WALL_LNEG1_004,SL0W-LNEG1C-WALL
Exterior Wall Install | L -1 | PREFAB_WALL_LNEG1_005,SL0W-LNEG1C-WALL
Exterior Wall Install | L -1 | PREFAB_WALL_LNEG1_006,SL0W-LNEG1C-WALL
Exterior Wall Install | L -1 | PREFAB_WALL_LNEG1_007,
Exterior Wall Install | L -1 | PREFAB_WALL_LNEG1_008,
Exterior Wall Install | L -1 | PREFAB_WALL_LNEG1_009,
Exterior Wall Install | L -1 | PREFAB_WALL_LNEG1_010,
Exterior Wall Install | L -1 | PREFAB_WALL_LNEG1_011,
Exterior Wall Install | L -1 | PREFAB_WALL_LNEG1_012,
Exterior Wall Install | L 0 | PREFAB_WALL_L0_013,SL0W-LNEG1C-WALL
Exterior Wall Install | L 0 | PREFAB_WALL_L0_014,SL0W-LNEG1C-WALL
Exterior Wall Install | L 0 | PREFAB_WALL_L0_015,SL0W-LNEG1C-WALL
Exterior Wall Install | L 0 | PREFAB_WALL_L0_016,SL0W-LNEG1C-WALL
Exterior Wall Install | L 0 | PREFAB_WALL_L0_017,SL0W-LNEG1C-WALL
Exterior Wall Install | L 0 | PREFAB_WALL_L0_018,SL0W-LNEG1C-WALL
Exterior Wall Install | L 0 | PREFAB_WALL_L0_019,
Exterior Wall Install | L 0 | PREFAB_WALL_L0_020,
Exterior Wall Install | L 0 | PREFAB_WALL_L0_021,
Exterior Wall Install | L 0 | PREFAB_WALL_L0_022,
Exterior Wall Install | L 0 | PREFAB_WALL_L0_023,
Exterior Wall Install | L 0 | PREFAB_WALL_L0_024,
Exterior Wall Install | L 0 | PREFAB_WALL_L0_025,
Exterior Wall Install | L 0 | PREFAB_WALL_L0_026,
Exterior Wall Install | L 0 | PREFAB_WALL_L0_027,
Exterior Wall Install | L 0 | PREFAB_WALL_L0_028,
Exterior Wall Install | L 0 | PREFAB_WALL_L0_029,
Exterior Wall Install | L 0 | PREFAB_WALL_L0_030,
Exterior Wall Install | L 0 | PREFAB_WALL_L0_031,
Exterior Wall Install | L 0 | PREFAB_WALL_L0_032,
Exterior Wall Install | L 0 | PREFAB_WALL_L0_033,
Exterior Wall Install | L 0 | PREFAB_WALL_L0_034,
Exterior Wall Install | L 1 | PREFAB_WALL_L1_035,SL1-3R-WALL
Exterior Wall Install | L 1 | PREFAB_WALL_L1_036,SL1-3R-WALL
Exterior Wall Install | L 1 | PREFAB_WALL_L1_037,SL1-3R-WALL
Exterior Wall Install | L 1 | PREFAB_WALL_L1_038,SL1-2R-WALL
Exterior Wall Install | L 1 | PREFAB_WALL_L1_039,SL1-2R-WALL
Exterior Wall Install | L 1 | PREFAB_WALL_L1_040,
Exterior Wall Install | L 1 | PREFAB_WALL_L1_041,
Exterior Wall Install | L 1 | PREFAB_WALL_L1_042,
Exterior Wall Install | L 1 | PREFAB_WALL_L1_043,
Exterior Wall Install | L 1 | PREFAB_WALL_L1_044,
Exterior Wall Install | L 1 | PREFAB_WALL_L1_045,
Exterior Wall Install | L 1 | PREFAB_WALL_L1_046,
Exterior Wall Install | L 1 | PREFAB_WALL_L1_047,
Exterior Wall Install | L 1 | PREFAB_WALL_L1_048,
Exterior Wall Install | L 1 | PREFAB_WALL_L1_049,
Exterior Wall Install | L 1 | PREFAB_WALL_L1_050,
Exterior Wall Install | L 1 | PREFAB_WALL_L1_051,
Exterior Wall Install | L 1 | PREFAB_WALL_L1_052,
Exterior Wall Install | L 1 | PREFAB_WALL_L1_053,
Exterior Wall Install | L 1 | PREFAB_WALL_L1_054,
Exterior Wall Install | L 1 | PREFAB_WALL_L1_055,
Exterior Wall Install | L 1 | PREFAB_WALL_L1_056,
Exterior Wall Install | L 1 | PREFAB_WALL_L1_057,
Exterior Wall Install | L 1 | PREFAB_WALL_L1_058,
Exterior Wall Install | L 1 | PREFAB_WALL_L1_059,
Exterior Wall Install | L 1 | PREFAB_WALL_L1_060,
Exterior Wall Install | L3 | PREFAB_WALL_L3_061,
Exterior Wall Install | L3 | PREFAB_WALL_L3_062,
Exterior Wall Install | L3 | PREFAB_WALL_L3_063,
Exterior Wall Install | L3 | PREFAB_WALL_L3_064,
Exterior Wall Install | L3 | PREFAB_WALL_L3_065,
Exterior Wall Install | L3 | PREFAB_WALL_L3_066,
Exterior Wall Install | L3 | PREFAB_WALL_L3_067,
Exterior Wall Install | L3 | PREFAB_WALL_L3_068,
Exterior Wall Install | L3 | PREFAB_WALL_L3_069,
Exterior Wall Install | L3 | PREFAB_WALL_L3_070,
Exterior Wall Install | L3 | PREFAB_WALL_L3_071,
Exterior Wall Install | L3 | PREFAB_WALL_L3_072,
Exterior Wall Install | L3 | PREFAB_WALL_L3_073,
Exterior Wall Install | L3 | PREFAB_WALL_L3_074,
Exterior Wall Install | L3 | PREFAB_WALL_L3_075,
Exterior Wall Install | L3 | PREFAB_WALL_L3_076,
Exterior Wall Install | L3 | PREFAB_WALL_L3_077,
Exterior Wall Install | L3 | PREFAB_WALL_L3_078,
Exterior Wall Install | L3 | PREFAB_WALL_L3_079,
Exterior Wall Install | L3 | PREFAB_WALL_L3_080,
Exterior Wall Install | L3 | PREFAB_WALL_L3_081,
Exterior Wall Install | L3 | PREFAB_WALL_L3_082,
Exterior Wall Install | L3 | PREFAB_WALL_L3_083,
Exterior Wall Install | L3 | PREFAB_WALL_L3_084,
Exterior Wall Install | L3 | PREFAB_WALL_L3_085,
Exterior Wall Install | L3 | PREFAB_WALL_L3_086,
Exterior Wall Install | L3 | PREFAB_WALL_L3_087,
Exterior Wall Install | L3 | PREFAB_WALL_L3_088,
Exterior Wall Install | L3 | PREFAB_WALL_L3_089,
Exterior Wall Install | L3 | PREFAB_WALL_L3_090,
