ID,NAME,CATALOG ID,DESCRIPTION,CATEGORY,SUB CATEGORY,MEASURE UNIT,Vendor,Default Vendor,Pref Vendor,Vendor SKU/Part #,Vendor Description,Vendor Item Cost,Vendor Lead Time
SL1-3R-WALL,South-L1-3 rooms part - Generic 8 Exterior,PART-SL1_3R_WALL,"South-L1-3 rooms part | Generic - 8"" - EXTERIOR wall part",Parts,Prefab Envelope,EACH,,,,,,,
SL1-3R-MULLION-L,South-L1-3 rooms part - Rectangular Mullion Lengthwise,PART-SL1_3R_MULLION_L,"South-L1-3 rooms part | Rectangular Mullion 2.5"" x 5"" rectangular - lengthwise part",Parts,Prefab Envelope,EACH,,,,,,,
SL1-3R-MULLION-B,South-L1-3 rooms part - Rectangular Mullion Breadthwise,PART-SL1_3R_MULLION_B,"South-L1-3 rooms part | Rectangular Mullion 2.5"" x 5"" rectangular - breadthwise part",Parts,Prefab Envelope,EACH,,,,,,,
SL1-3R-GLAZED-PANEL,South-L1-3 rooms part - Curtain Panel Glazed,PART-SL1_3R_GLAZED_PANEL,South-L1-3 rooms part | Curtain Panels / System Panel / Glazed part,Parts,Prefab Envelope,EACH,,,,,,,
SL1-2R-WALL,South-L1-2 rooms part - Generic 8 Exterior,PART-SL1_2R_WALL,"South-L1-2 rooms part | Generic - 8"" - EXTERIOR wall part",Parts,Prefab Envelope,EACH,,,,,,,
SL1-2R-MULLION-L,South-L1-2 rooms part - Rectangular Mullion Lengthwise,PART-SL1_2R_MULLION_L,"South-L1-2 rooms part | Rectangular Mullion 2.5"" x 5"" rectangular - lengthwise part",Parts,Prefab Envelope,EACH,,,,,,,
SL1-2R-MULLION-B,South-L1-2 rooms part - Rectangular Mullion Breadthwise,PART-SL1_2R_MULLION_B,"South-L1-2 rooms part | Rectangular Mullion 2.5"" x 5"" rectangular - breadthwise part",Parts,Prefab Envelope,EACH,,,,,,,
SL1-2R-GLAZED-PANEL,South-L1-2 rooms part - Curtain Panel Glazed,PART-SL1_2R_GLAZED_PANEL,South-L1-2 rooms part | Curtain Panels / System Panel / Glazed part,Parts,Prefab Envelope,EACH,,,,,,,
SL0W-LNEG1C-WALL,South-L0-Workshop part & South-L-1-Classrooms part - Generic 8 Exterior,PART-SL0W_LNEG1C_WALL,"South-L0-Workshop part & South-L-1-Classrooms part | Generic - 8"" - EXTERIOR wall part",Parts,Prefab Envelope,EACH,,,,,,,
SL0W-LNEG1C-MULLION-L,South-L0-Workshop part & South-L-1-Classrooms part - Rectangular Mullion Lengthwise,PART-SL0W_LNEG1C_MULLION_L,"South-L0-Workshop part & South-L-1-Classrooms part | Rectangular Mullion 2.5"" x 5"" rectangular - lengthwise part",Parts,Prefab Envelope,EACH,,,,,,,
SL0W-LNEG1C-MULLION-B,South-L0-Workshop part & South-L-1-Classrooms part - Rectangular Mullion Breadthwise,PART-SL0W_LNEG1C_MULLION_B,"South-L0-Workshop part & South-L-1-Classrooms part | Rectangular Mullion 2.5"" x 5"" rectangular - breadthwise part",Parts,Prefab Envelope,EACH,,,,,,,
SL0W-LNEG1C-GLAZED-PANEL,South-L0-Workshop part & South-L-1-Classrooms part - Curtain Panel Glazed,PART-SL0W_LNEG1C_GLAZED_PANEL,South-L0-Workshop part & South-L-1-Classrooms part | Curtain Panels / System Panel / Glazed part,Parts,Prefab Envelope,EACH,,,,,,,
STRUCT_COL_10_0_CONCRETE_CAST_IN_PLACE_GRAY,"Structural Column 10' - 0"" | Concrete, Cast-in-Place gray",PART-STRUCT_COL_10_0_CO-DC76B441,"Structural column part based on height 10' - 0"" and material Concrete, Cast-in-Place gray",Parts,Structural Columns,EACH,,,,,,,
STRUCT_COL_12_0_STRUCTURAL_BAMBOO_CLB,"Structural Column 12' - 0"" | Structural Bamboo (CLB)",PART-STRUCT_COL_12_0_ST-DE11942B,"Structural column part based on height 12' - 0"" and material Structural Bamboo (CLB)",Parts,Structural Columns,EACH,,,,,,,
STRUCT_COL_15_0_STRUCTURAL_BAMBOO_CLB,"Structural Column 15' - 0"" | Structural Bamboo (CLB)",PART-STRUCT_COL_15_0_ST-C83FE121,"Structural column part based on height 15' - 0"" and material Structural Bamboo (CLB)",Parts,Structural Columns,EACH,,,,,,,
STRUCT_COL_4_0_CONCRETE_NORMAL_WEIGHT_4_KSI,"Structural Column 4' - 0"" | Concrete, Normal Weight - 4 ksi",PART-STRUCT_COL_4_0_CON-EB71FB14,"Structural column part based on height 4' - 0"" and material Concrete, Normal Weight - 4 ksi",Parts,Structural Columns,EACH,,,,,,,
STRUCT_COL_5_0_CONCRETE_CAST_IN_PLACE_GRAY,"Structural Column 5' - 0"" | Concrete, Cast-in-Place gray",PART-STRUCT_COL_5_0_CON-DDD20230,"Structural column part based on height 5' - 0"" and material Concrete, Cast-in-Place gray",Parts,Structural Columns,EACH,,,,,,,
STRUCT_FRAME_0_0_CONCRETE_CAST_IN_PLACE_GRAY,"Structural Framing 0' - 0"" | Concrete, Cast-in-Place gray",PART-STRUCT_FRAME_0_0_C-9CF1AEC2,"Structural framing part based on length 0' - 0"" and material Concrete, Cast-in-Place gray",Parts,Structural Framing,EACH,,,,,,,
STRUCT_FRAME_10_0_STRUCTURAL_BAMBOO_CLB,"Structural Framing 10' - 0"" | Structural Bamboo (CLB)",PART-STRUCT_FRAME_10_0-5250D740,"Structural framing part based on length 10' - 0"" and material Structural Bamboo (CLB)",Parts,Structural Framing,EACH,,,,,,,
STRUCT_FRAME_10_6_STRUCTURAL_BAMBOO_CLB,"Structural Framing 10' - 6"" | Structural Bamboo (CLB)",PART-STRUCT_FRAME_10_6-F623A65A,"Structural framing part based on length 10' - 6"" and material Structural Bamboo (CLB)",Parts,Structural Framing,EACH,,,,,,,
STRUCT_FRAME_14_0_STRUCTURAL_BAMBOO_CLB,"Structural Framing 14' - 0"" | Structural Bamboo (CLB)",PART-STRUCT_FRAME_14_0-A46FB2A4,"Structural framing part based on length 14' - 0"" and material Structural Bamboo (CLB)",Parts,Structural Framing,EACH,,,,,,,
STRUCT_FRAME_14_6_CONCRETE_NORMAL_WEIGHT_4_KSI,"Structural Framing 14' - 6"" | Concrete, Normal Weight - 4 ksi",PART-STRUCT_FRAME_14_6-F098E7B9,"Structural framing part based on length 14' - 6"" and material Concrete, Normal Weight - 4 ksi",Parts,Structural Framing,EACH,,,,,,,
STRUCT_FRAME_14_6_STRUCTURAL_BAMBOO_CLB,"Structural Framing 14' - 6"" | Structural Bamboo (CLB)",PART-STRUCT_FRAME_14_6-0E6958C6,"Structural framing part based on length 14' - 6"" and material Structural Bamboo (CLB)",Parts,Structural Framing,EACH,,,,,,,
STRUCT_FRAME_17_7_STRUCTURAL_BAMBOO_CLB,"Structural Framing 17' - 7"" | Structural Bamboo (CLB)",PART-STRUCT_FRAME_17_7-03B45687,"Structural framing part based on length 17' - 7"" and material Structural Bamboo (CLB)",Parts,Structural Framing,EACH,,,,,,,
STRUCT_FRAME_18_3_7_8_STRUCTURAL_BAMBOO_CLB,"Structural Framing 18' - 3 7/8"" | Structural Bamboo (CLB)",PART-STRUCT_FRAME_18_3-2D15BB80,"Structural framing part based on length 18' - 3 7/8"" and material Structural Bamboo (CLB)",Parts,Structural Framing,EACH,,,,,,,
STRUCT_FRAME_20_1_STRUCTURAL_BAMBOO_CLB,"Structural Framing 20' - 1"" | Structural Bamboo (CLB)",PART-STRUCT_FRAME_20_1-6B66DA79,"Structural framing part based on length 20' - 1"" and material Structural Bamboo (CLB)",Parts,Structural Framing,EACH,,,,,,,
STRUCT_FRAME_21_10_3_4_STRUCTURAL_BAMBOO_CLB,"Structural Framing 21' - 10 3/4"" | Structural Bamboo (CLB)",PART-STRUCT_FRAME_21_10-1B5579D8,"Structural framing part based on length 21' - 10 3/4"" and material Structural Bamboo (CLB)",Parts,Structural Framing,EACH,,,,,,,
STRUCT_FRAME_22_0_CONCRETE_NORMAL_WEIGHT_4_KSI,"Structural Framing 22' - 0"" | Concrete, Normal Weight - 4 ksi",PART-STRUCT_FRAME_22_0-5280B15B,"Structural framing part based on length 22' - 0"" and material Concrete, Normal Weight - 4 ksi",Parts,Structural Framing,EACH,,,,,,,
STRUCT_FRAME_29_0_CONCRETE_NORMAL_WEIGHT_4_KSI,"Structural Framing 29' - 0"" | Concrete, Normal Weight - 4 ksi",PART-STRUCT_FRAME_29_0-AD934165,"Structural framing part based on length 29' - 0"" and material Concrete, Normal Weight - 4 ksi",Parts,Structural Framing,EACH,,,,,,,
STRUCT_FRAME_29_0_STRUCTURAL_BAMBOO_CLB,"Structural Framing 29' - 0"" | Structural Bamboo (CLB)",PART-STRUCT_FRAME_29_0-06FF6E8F,"Structural framing part based on length 29' - 0"" and material Structural Bamboo (CLB)",Parts,Structural Framing,EACH,,,,,,,
STRUCT_FRAME_29_10_CONCRETE_NORMAL_WEIGHT_4_KSI,"Structural Framing 29' - 10"" | Concrete, Normal Weight - 4 ksi",PART-STRUCT_FRAME_29_10-1F446A7D,"Structural framing part based on length 29' - 10"" and material Concrete, Normal Weight - 4 ksi",Parts,Structural Framing,EACH,,,,,,,
STRUCT_FRAME_29_7_3_8_CONCRETE_NORMAL_WEIGHT_4_KSI,"Structural Framing 29' - 7 3/8"" | Concrete, Normal Weight - 4 ksi",PART-STRUCT_FRAME_29_7-382F3A6D,"Structural framing part based on length 29' - 7 3/8"" and material Concrete, Normal Weight - 4 ksi",Parts,Structural Framing,EACH,,,,,,,
STRUCT_FRAME_3_3_1_2_STRUCTURAL_BAMBOO_CLB,"Structural Framing 3' - 3 1/2"" | Structural Bamboo (CLB)",PART-STRUCT_FRAME_3_3_1-B87745B1,"Structural framing part based on length 3' - 3 1/2"" and material Structural Bamboo (CLB)",Parts,Structural Framing,EACH,,,,,,,
STRUCT_FRAME_58_0_CONCRETE_NORMAL_WEIGHT_4_KSI,"Structural Framing 58' - 0"" | Concrete, Normal Weight - 4 ksi",PART-STRUCT_FRAME_58_0-BBD380E4,"Structural framing part based on length 58' - 0"" and material Concrete, Normal Weight - 4 ksi",Parts,Structural Framing,EACH,,,,,,,
STRUCT_FRAME_58_0_STRUCTURAL_BAMBOO_CLB,"Structural Framing 58' - 0"" | Structural Bamboo (CLB)",PART-STRUCT_FRAME_58_0-9DCCE4F2,"Structural framing part based on length 58' - 0"" and material Structural Bamboo (CLB)",Parts,Structural Framing,EACH,,,,,,,
STRUCT_FRAME_6_0_STRUCTURAL_BAMBOO_CLB,"Structural Framing 6' - 0"" | Structural Bamboo (CLB)",PART-STRUCT_FRAME_6_0_S-38B898CC,"Structural framing part based on length 6' - 0"" and material Structural Bamboo (CLB)",Parts,Structural Framing,EACH,,,,,,,
STRUCT_FRAME_7_0_CONCRETE_NORMAL_WEIGHT_4_KSI,"Structural Framing 7' - 0"" | Concrete, Normal Weight - 4 ksi",PART-STRUCT_FRAME_7_0_C-5D833380,"Structural framing part based on length 7' - 0"" and material Concrete, Normal Weight - 4 ksi",Parts,Structural Framing,EACH,,,,,,,
STRUCT_FRAME_9_6_STRUCTURAL_BAMBOO_CLB,"Structural Framing 9' - 6"" | Structural Bamboo (CLB)",PART-STRUCT_FRAME_9_6_S-9B8FCD47,"Structural framing part based on length 9' - 6"" and material Structural Bamboo (CLB)",Parts,Structural Framing,EACH,,,,,,,
STRUCT_FLOOR_L_0_BAMBOO_6_0_6_STRUCTURAL_BAMBOO_CLB,"Structural Floor L 0 | Bamboo - 6"" | 0' - 6"" | Structural Bamboo (CLB)",PART-STRUCT_FLOOR_L_0_B-6FFA9054,"Structural floor part for L 0 based on type Bamboo - 6"", thickness 0' - 6"", and material Structural Bamboo (CLB)",Parts,Structural Floors,SF,,,,,,,
STRUCT_FLOOR_L_1_BAMBOO_6_0_6_STRUCTURAL_BAMBOO_CLB,"Structural Floor L 1 | Bamboo - 6"" | 0' - 6"" | Structural Bamboo (CLB)",PART-STRUCT_FLOOR_L_1_B-4C943E2B,"Structural floor part for L 1 based on type Bamboo - 6"", thickness 0' - 6"", and material Structural Bamboo (CLB)",Parts,Structural Floors,SF,,,,,,,
STRUCT_FLOOR_ROOF_BAMBOO_6_0_6_STRUCTURAL_BAMBOO_CLB,"Structural Floor Roof | Bamboo - 6"" | 0' - 6"" | Structural Bamboo (CLB)",PART-STRUCT_FLOOR_ROOF-B2F08FB7,"Structural floor part for Roof based on type Bamboo - 6"", thickness 0' - 6"", and material Structural Bamboo (CLB)",Parts,Structural Floors,SF,,,,,,,
INTW_L_NEG_1_WALL,Interior Wall L -1,PART-INTW_L_NEG_1_WALL,Interior wall part for L -1,Parts,Prefab Interior,EACH,,,,,,,
INTW_L_0_WALL,Interior Wall L 0,PART-INTW_L_0_WALL,Interior wall part for L 0,Parts,Prefab Interior,EACH,,,,,,,
INTW_L_1_WALL,Interior Wall L 1,PART-INTW_L_1_WALL,Interior wall part for L 1,Parts,Prefab Interior,EACH,,,,,,,
EXTW_L_NEG_1_WALL,Exterior Wall L -1 - Wall Panel,PART-EXTW_L_NEG_1_WALL,Exterior wall panel part for L -1,Parts,Prefab Envelope,EACH,,,,,,,
EXTW_L_NEG_1_MULLION-L,Exterior Wall L -1 - Mullion Lengthwise,PART-EXTW_L_NEG_1_MULLION_L,Exterior wall lengthwise mullion part for L -1,Parts,Prefab Envelope,EACH,,,,,,,
EXTW_L_NEG_1_MULLION-B,Exterior Wall L -1 - Mullion Breadthwise,PART-EXTW_L_NEG_1_MULLION_B,Exterior wall breadthwise mullion part for L -1,Parts,Prefab Envelope,EACH,,,,,,,
