part_id,part_name,catalog_id,category,sub_category,measure_unit,element_count,takeoff_quantity,takeoff_unit,total_area_sf,total_volume_cf,element_ids
SL1-3R-WALL,South-L1-3 rooms part - Generic 8 Exterior,PART-SL1_3R_WALL,Parts,Prefab Envelope,EACH,11,11.0,EACH,873.0,247.3,1930738|1931297|1934568|1934742|1934812|1934939|1935007|1935081|1935149|2193600|2193801
SL1-3R-MULLION-L,South-L1-3 rooms part - Rectangular Mullion Lengthwise,PART-SL1_3R_MULLION_L,Parts,Prefab Envelope,EACH,23,23.0,EACH,92.0,14.03,1931409|1931436|1934576|1934577|1934578|1934750|1934751|1934752|1934820|1934821|1934822|1934947|1934948|1934949|1935015|1935016|1935017|1935089|1935090|1935091|1935157|1935158|1935159
SL1-3R-MULLION-B,South-L1-3 rooms part - Rectangular Mullion Breadthwise,PART-SL1_3R_MULLION_B,Parts,Prefab Envelope,EACH,32,32.0,EACH,96.0,11.48,1931355|1931381|1931382|1931408|1934572|1934573|1934574|1934575|1934746|1934747|1934748|1934749|1934816|1934817|1934818|1934819|1934943|1934944|1934945|1934946|1935011|1935012|1935013|1935014|1935085|1935086|1935087|1935088|1935153|1935154|1935155|1935156
SL1-3R-GLAZED-PANEL,South-L1-3 rooms part - Curtain Panel Glazed,PART-SL1_3R_GLAZED_PANEL,Parts,Prefab Envelope,EACH,16,16.0,EACH,444.0,36.62,1931298|1931353|1934569|1934571|1934743|1934745|1934813|1934815|1934940|1934942|1935008|1935010|1935082|1935084|1935150|1935152
SL1-2R-WALL,South-L1-2 rooms part - Generic 8 Exterior,PART-SL1_2R_WALL,Parts,Prefab Envelope,EACH,8,8.0,EACH,664.0,188.92,1935217|1935285|1935353|1935421|1935489|1935598|2194057|2194387
SL1-2R-MULLION-L,South-L1-2 rooms part - Rectangular Mullion Lengthwise,PART-SL1_2R_MULLION_L,Parts,Prefab Envelope,EACH,17,17.0,EACH,68.0,10.35,1935225|1935226|1935227|1935293|1935294|1935295|1935361|1935362|1935363|1935429|1935430|1935431|1935497|1935498|1935499|1935607|1935608
SL1-2R-MULLION-B,South-L1-2 rooms part - Rectangular Mullion Breadthwise,PART-SL1_2R_MULLION_B,Parts,Prefab Envelope,EACH,24,24.0,EACH,72.0,8.74,1935221|1935222|1935223|1935224|1935289|1935290|1935291|1935292|1935357|1935358|1935359|1935360|1935425|1935426|1935427|1935428|1935493|1935494|1935495|1935496|1935602|1935603|1935604|1935605
SL1-2R-GLAZED-PANEL,South-L1-2 rooms part - Curtain Panel Glazed,PART-SL1_2R_GLAZED_PANEL,Parts,Prefab Envelope,EACH,12,12.0,EACH,338.0,27.78,1935218|1935220|1935286|1935288|1935354|1935356|1935422|1935424|1935490|1935492|1935599|1935601
SL0W-LNEG1C-WALL,South-L0-Workshop part & South-L-1-Classrooms part - Generic 8 Exterior,PART-SL0W_LNEG1C_WALL,Parts,Prefab Envelope,EACH,25,25.0,EACH,2278.0,718.22,1403659|1778122|1781235|1781357|1936999|1937479|1937506|1937722|1937749|1937891|1937918|1938062|1938089|1938168|1938195|1944229|1944285|1944371|1944466|1944945|1945027|1945117|1945336|1945644|1946440
SL0W-LNEG1C-MULLION-L,South-L0-Workshop part & South-L-1-Classrooms part - Rectangular Mullion Lengthwise,PART-SL0W_LNEG1C_MULLION_L,Parts,Prefab Envelope,EACH,48,48.0,EACH,240.0,33.12,1778143|1778145|1778150|1778151|1937495|1937497|1937502|1937503|1937738|1937740|1937745|1937746|1937907|1937909|1937914|1937915|1938078|1938080|1938085|1938086|1938184|1938186|1938191|1938192|1944486|1944488|1944493|1944494|1944953|1944954|1944955|1945035|1945036|1945037|1945129|1945130|1945131|1945132|1945344|1945345|1945346|1945652|1945653|1945654|1946452|1946453|1946454|1946455
SL0W-LNEG1C-MULLION-B,South-L0-Workshop part & South-L-1-Classrooms part - Rectangular Mullion Breadthwise,PART-SL0W_LNEG1C_MULLION_B,Parts,Prefab Envelope,EACH,64,64.0,EACH,184.0,22.1,1937489|1937490|1937491|1937492|1937493|1937494|1937732|1937733|1937734|1937735|1937736|1937737|1937901|1937902|1937903|1937904|1937905|1937906|1938072|1938073|1938074|1938075|1938076|1938077|1938178|1938179|1938180|1938181|1938182|1938183|1944480|1944481|1944482|1944483|1944484|1944485|1944949|1944950|1944951|1944952|1945031|1945032|1945033|1945034|1945123|1945124|1945125|1945126|1945127|1945128|1945340|1945341|1945342|1945343|1945648|1945649|1945650|1945651|1946446|1946447|1946448|1946449|1946450|1946451
SL0W-LNEG1C-GLAZED-PANEL,South-L0-Workshop part & South-L-1-Classrooms part - Curtain Panel Glazed,PART-SL0W_LNEG1C_GLAZED_PANEL,Parts,Prefab Envelope,EACH,35,35.0,EACH,1065.0,88.65,1778123|1778128|1778130|1937480|1937482|1937484|1937723|1937725|1937727|1937892|1937894|1937896|1938063|1938065|1938067|1938169|1938171|1938173|1944467|1944471|1944473|1944946|1944948|1945028|1945030|1945118|1945120|1945122|1945337|1945339|1945645|1945647|1946441|1946443|1946445
STRUCT_COL_10_0_CONCRETE_CAST_IN_PLACE_GRAY,"Structural Column 10' - 0"" | Concrete, Cast-in-Place gray",PART-STRUCT_COL_10_0_CO-DC76B441,Parts,Structural Columns,EACH,2,2.0,EACH,0.0,27.22,612178|612945
STRUCT_COL_12_0_STRUCTURAL_BAMBOO_CLB,"Structural Column 12' - 0"" | Structural Bamboo (CLB)",PART-STRUCT_COL_12_0_ST-DE11942B,Parts,Structural Columns,EACH,35,35.0,EACH,0.0,531.65,604371|604373|604375|604376|604378|604379|604380|604381|604382|604383|604384|604385|604386|604387|604388|604389|604390|604391|604414|604415|604416|604417|604418|604419|614870|615012|615093|615162|615289|629697|644665|656466|656467|657238|657750
STRUCT_COL_15_0_STRUCTURAL_BAMBOO_CLB,"Structural Column 15' - 0"" | Structural Bamboo (CLB)",PART-STRUCT_COL_15_0_ST-C83FE121,Parts,Structural Columns,EACH,64,64.0,EACH,0.0,1214.72,602783|602784|602786|602787|602789|602790|602792|602793|602794|602795|602796|602797|602798|602799|602800|602802|602803|602804|602805|602806|602807|602808|603849|604345|604347|604349|604350|604352|604353|604354|604355|604356|604357|604358|604359|604360|604361|604362|604363|604404|604405|604406|604407|604408|604409|613589|614073|614174|614285|614376|628948|629229|632386|643885|644661|655943|656062|656461|656462|656645|657251|657294|657746|668818
STRUCT_COL_4_0_CONCRETE_NORMAL_WEIGHT_4_KSI,"Structural Column 4' - 0"" | Concrete, Normal Weight - 4 ksi",PART-STRUCT_COL_4_0_CON-EB71FB14,Parts,Structural Columns,EACH,29,29.0,EACH,0.0,116.0,621063|621150|622192|622193|622194|622195|622196|622197|622198|622199|622200|622201|622202|622203|622204|622205|622206|622207|622208|622209|622210|622212|622213|622214|622918|634191|634277|634794|638122
STRUCT_COL_5_0_CONCRETE_CAST_IN_PLACE_GRAY,"Structural Column 5' - 0"" | Concrete, Cast-in-Place gray",PART-STRUCT_COL_5_0_CON-DDD20230,Parts,Structural Columns,EACH,3,3.0,EACH,0.0,20.43,611709|611833|611868
STRUCT_FRAME_0_0_CONCRETE_CAST_IN_PLACE_GRAY,"Structural Framing 0' - 0"" | Concrete, Cast-in-Place gray",PART-STRUCT_FRAME_0_0_C-9CF1AEC2,Parts,Structural Framing,EACH,1,1.0,EACH,0.0,0.04,594720
STRUCT_FRAME_10_0_STRUCTURAL_BAMBOO_CLB,"Structural Framing 10' - 0"" | Structural Bamboo (CLB)",PART-STRUCT_FRAME_10_0-5250D740,Parts,Structural Framing,EACH,38,38.0,EACH,0.0,627.82,650141|650432|659039|659040|659596|660641|660669|660706|660739|660771|660803|660835|660863|660895|661390|661758|661759|661760|661761|661762|661763|661764|661765|661766|661767|661768|661960|662335|662336|662337|662462|662491|662530|662560|662669|662670|662671|662672
STRUCT_FRAME_10_6_STRUCTURAL_BAMBOO_CLB,"Structural Framing 10' - 6"" | Structural Bamboo (CLB)",PART-STRUCT_FRAME_10_6-F623A65A,Parts,Structural Framing,EACH,1,1.0,EACH,0.0,16.72,607692
STRUCT_FRAME_14_0_STRUCTURAL_BAMBOO_CLB,"Structural Framing 14' - 0"" | Structural Bamboo (CLB)",PART-STRUCT_FRAME_14_0-A46FB2A4,Parts,Structural Framing,EACH,1,1.0,EACH,0.0,24.1,672414
STRUCT_FRAME_14_6_CONCRETE_NORMAL_WEIGHT_4_KSI,"Structural Framing 14' - 6"" | Concrete, Normal Weight - 4 ksi",PART-STRUCT_FRAME_14_6-F098E7B9,Parts,Structural Framing,EACH,15,15.0,EACH,0.0,362.16,591739|591740|591741|591748|591760|618215|635633|670564|688597|688927|690052|691023|691156|694397|695171
STRUCT_FRAME_14_6_STRUCTURAL_BAMBOO_CLB,"Structural Framing 14' - 6"" | Structural Bamboo (CLB)",PART-STRUCT_FRAME_14_6-0E6958C6,Parts,Structural Framing,EACH,10,10.0,EACH,0.0,240.09,607325|607672|607685|607686|633194|665010|674148|676672|678315|682671
STRUCT_FRAME_17_7_STRUCTURAL_BAMBOO_CLB,"Structural Framing 17' - 7"" | Structural Bamboo (CLB)",PART-STRUCT_FRAME_17_7-03B45687,Parts,Structural Framing,EACH,3,3.0,EACH,0.0,89.37,607586|607679|607693
STRUCT_FRAME_18_3_7_8_STRUCTURAL_BAMBOO_CLB,"Structural Framing 18' - 3 7/8"" | Structural Bamboo (CLB)",PART-STRUCT_FRAME_18_3-2D15BB80,Parts,Structural Framing,EACH,3,3.0,EACH,0.0,90.3,607550|607678|678744
STRUCT_FRAME_20_1_STRUCTURAL_BAMBOO_CLB,"Structural Framing 20' - 1"" | Structural Bamboo (CLB)",PART-STRUCT_FRAME_20_1-6B66DA79,Parts,Structural Framing,EACH,3,3.0,EACH,0.0,102.48,665471|674851|677777
STRUCT_FRAME_21_10_3_4_STRUCTURAL_BAMBOO_CLB,"Structural Framing 21' - 10 3/4"" | Structural Bamboo (CLB)",PART-STRUCT_FRAME_21_10-1B5579D8,Parts,Structural Framing,EACH,3,3.0,EACH,0.0,109.05,607671|629989|664493
STRUCT_FRAME_22_0_CONCRETE_NORMAL_WEIGHT_4_KSI,"Structural Framing 22' - 0"" | Concrete, Normal Weight - 4 ksi",PART-STRUCT_FRAME_22_0-5280B15B,Parts,Structural Framing,EACH,1,1.0,EACH,0.0,37.93,635522
STRUCT_FRAME_29_0_CONCRETE_NORMAL_WEIGHT_4_KSI,"Structural Framing 29' - 0"" | Concrete, Normal Weight - 4 ksi",PART-STRUCT_FRAME_29_0-AD934165,Parts,Structural Framing,EACH,24,24.0,EACH,0.0,1186.7,591738|591742|591743|591744|591745|591746|591747|591750|591751|591754|591755|591758|591759|591761|591765|591766|620265|635545|635572|635605|669594|669708|670047|671455
STRUCT_FRAME_29_0_STRUCTURAL_BAMBOO_CLB,"Structural Framing 29' - 0"" | Structural Bamboo (CLB)",PART-STRUCT_FRAME_29_0-06FF6E8F,Parts,Structural Framing,EACH,39,39.0,EACH,0.0,2195.1,607246|607366|607409|607445|607483|607516|607670|607673|607674|607675|607676|607677|607684|607687|607688|607689|607690|607691|647454|648230|648366|671646|671736|671775|672526|672824|673977|674893|675283|676820|677144|677462|677531|677618|677855|678054|678180|679347|681743
STRUCT_FRAME_29_10_CONCRETE_NORMAL_WEIGHT_4_KSI,"Structural Framing 29' - 10"" | Concrete, Normal Weight - 4 ksi",PART-STRUCT_FRAME_29_10-1F446A7D,Parts,Structural Framing,EACH,3,3.0,EACH,0.0,150.36,637859|638002|638012
STRUCT_FRAME_29_7_3_8_CONCRETE_NORMAL_WEIGHT_4_KSI,"Structural Framing 29' - 7 3/8"" | Concrete, Normal Weight - 4 ksi",PART-STRUCT_FRAME_29_7-382F3A6D,Parts,Structural Framing,EACH,3,3.0,EACH,0.0,151.38,637357|637562|637572
STRUCT_FRAME_3_3_1_2_STRUCTURAL_BAMBOO_CLB,"Structural Framing 3' - 3 1/2"" | Structural Bamboo (CLB)",PART-STRUCT_FRAME_3_3_1-B87745B1,Parts,Structural Framing,EACH,4,4.0,EACH,0.0,38.93,680397|680682|680912|681310
STRUCT_FRAME_58_0_CONCRETE_NORMAL_WEIGHT_4_KSI,"Structural Framing 58' - 0"" | Concrete, Normal Weight - 4 ksi",PART-STRUCT_FRAME_58_0-BBD380E4,Parts,Structural Framing,EACH,1,1.0,EACH,0.0,101.3,620300
