element_id,assembly_id,catalog_id,build_code
591535,CONC_400CF_TRUCK_ASSEMBLY,ASM-CONC_400CF_TRUCK_ASSEMBLY,Footings - Form/Rebar/Pour Concrete | L 0 | FOOTINGS_FORM_REBAR_POUR_L_0_TRUCK_001
591536,CONC_400CF_TRUCK_ASSEMBLY,ASM-CONC_400CF_TRUCK_ASSEMBLY,Footings - Form/Rebar/Pour Concrete | L 0 | FOOTINGS_FORM_REBAR_POUR_L_0_TRUCK_001
591537,CONC_400CF_TRUCK_ASSEMBLY,ASM-CONC_400CF_TRUCK_ASSEMBLY,Footings - Form/Rebar/Pour Concrete | L 0 | FOOTINGS_FORM_REBAR_POUR_L_0_TRUCK_001
591538,CONC_400CF_TRUCK_ASSEMBLY,ASM-CONC_400CF_TRUCK_ASSEMBLY,Footings - Form/Rebar/Pour Concrete | L 0 | FOOTINGS_FORM_REBAR_POUR_L_0_TRUCK_001
591542,CONC_400CF_TRUCK_ASSEMBLY,ASM-CONC_400CF_TRUCK_ASSEMBLY,Footings - Form/Rebar/Pour Concrete | L -1 | FOOTINGS_FORM_REBAR_POUR_L_NEG_1_TRUCK_001
591542,CONC_400CF_TRUCK_ASSEMBLY,ASM-CONC_400CF_TRUCK_ASSEMBLY,Footings - Form/Rebar/Pour Concrete | L -1 | FOOTINGS_FORM_REBAR_POUR_L_NEG_1_TRUCK_002
591543,CONC_400CF_TRUCK_ASSEMBLY,ASM-CONC_400CF_TRUCK_ASSEMBLY,Footings - Form/Rebar/Pour Concrete | L -1 | FOOTINGS_FORM_REBAR_POUR_L_NEG_1_TRUCK_001
591543,CONC_400CF_TRUCK_ASSEMBLY,ASM-CONC_400CF_TRUCK_ASSEMBLY,Footings - Form/Rebar/Pour Concrete | L -1 | FOOTINGS_FORM_REBAR_POUR_L_NEG_1_TRUCK_002
591544,CONC_400CF_TRUCK_ASSEMBLY,ASM-CONC_400CF_TRUCK_ASSEMBLY,Footings - Form/Rebar/Pour Concrete | L -1 | FOOTINGS_FORM_REBAR_POUR_L_NEG_1_TRUCK_001
591544,CONC_400CF_TRUCK_ASSEMBLY,ASM-CONC_400CF_TRUCK_ASSEMBLY,Footings - Form/Rebar/Pour Concrete | L -1 | FOOTINGS_FORM_REBAR_POUR_L_NEG_1_TRUCK_002
591545,CONC_400CF_TRUCK_ASSEMBLY,ASM-CONC_400CF_TRUCK_ASSEMBLY,Footings - Form/Rebar/Pour Concrete | L -1 | FOOTINGS_FORM_REBAR_POUR_L_NEG_1_TRUCK_001
591545,CONC_400CF_TRUCK_ASSEMBLY,ASM-CONC_400CF_TRUCK_ASSEMBLY,Footings - Form/Rebar/Pour Concrete | L -1 | FOOTINGS_FORM_REBAR_POUR_L_NEG_1_TRUCK_002
591546,CONC_400CF_TRUCK_ASSEMBLY,ASM-CONC_400CF_TRUCK_ASSEMBLY,Footings - Form/Rebar/Pour Concrete | L -1 | FOOTINGS_FORM_REBAR_POUR_L_NEG_1_TRUCK_001
591546,CONC_400CF_TRUCK_ASSEMBLY,ASM-CONC_400CF_TRUCK_ASSEMBLY,Footings - Form/Rebar/Pour Concrete | L -1 | FOOTINGS_FORM_REBAR_POUR_L_NEG_1_TRUCK_002
591548,CONC_400CF_TRUCK_ASSEMBLY,ASM-CONC_400CF_TRUCK_ASSEMBLY,Footings - Form/Rebar/Pour Concrete | L -1 | FOOTINGS_FORM_REBAR_POUR_L_NEG_1_TRUCK_001
591548,CONC_400CF_TRUCK_ASSEMBLY,ASM-CONC_400CF_TRUCK_ASSEMBLY,Footings - Form/Rebar/Pour Concrete | L -1 | FOOTINGS_FORM_REBAR_POUR_L_NEG_1_TRUCK_002
591549,CONC_400CF_TRUCK_ASSEMBLY,ASM-CONC_400CF_TRUCK_ASSEMBLY,Footings - Form/Rebar/Pour Concrete | L -1 | FOOTINGS_FORM_REBAR_POUR_L_NEG_1_TRUCK_001
591549,CONC_400CF_TRUCK_ASSEMBLY,ASM-CONC_400CF_TRUCK_ASSEMBLY,Footings - Form/Rebar/Pour Concrete | L -1 | FOOTINGS_FORM_REBAR_POUR_L_NEG_1_TRUCK_002
591550,CONC_400CF_TRUCK_ASSEMBLY,ASM-CONC_400CF_TRUCK_ASSEMBLY,Footings - Form/Rebar/Pour Concrete | L -1 | FOOTINGS_FORM_REBAR_POUR_L_NEG_1_TRUCK_001
591550,CONC_400CF_TRUCK_ASSEMBLY,ASM-CONC_400CF_TRUCK_ASSEMBLY,Footings - Form/Rebar/Pour Concrete | L -1 | FOOTINGS_FORM_REBAR_POUR_L_NEG_1_TRUCK_002
591551,CONC_400CF_TRUCK_ASSEMBLY,ASM-CONC_400CF_TRUCK_ASSEMBLY,Footings - Form/Rebar/Pour Concrete | L -1 | FOOTINGS_FORM_REBAR_POUR_L_NEG_1_TRUCK_001
591551,CONC_400CF_TRUCK_ASSEMBLY,ASM-CONC_400CF_TRUCK_ASSEMBLY,Footings - Form/Rebar/Pour Concrete | L -1 | FOOTINGS_FORM_REBAR_POUR_L_NEG_1_TRUCK_002
591553,CONC_400CF_TRUCK_ASSEMBLY,ASM-CONC_400CF_TRUCK_ASSEMBLY,Footings - Form/Rebar/Pour Concrete | L -1 | FOOTINGS_FORM_REBAR_POUR_L_NEG_1_TRUCK_001
591553,CONC_400CF_TRUCK_ASSEMBLY,ASM-CONC_400CF_TRUCK_ASSEMBLY,Footings - Form/Rebar/Pour Concrete | L -1 | FOOTINGS_FORM_REBAR_POUR_L_NEG_1_TRUCK_002
591738,CONC_400CF_TRUCK_ASSEMBLY,ASM-CONC_400CF_TRUCK_ASSEMBLY,Grade Beams Concrete | L -1 | GRADE_BEAMS_L_NEG_1_TRUCK_001
591738,CONC_400CF_TRUCK_ASSEMBLY,ASM-CONC_400CF_TRUCK_ASSEMBLY,Grade Beams Concrete | L -1 | GRADE_BEAMS_L_NEG_1_TRUCK_002
591738,CONC_400CF_TRUCK_ASSEMBLY,ASM-CONC_400CF_TRUCK_ASSEMBLY,Grade Beams Concrete | L -1 | GRADE_BEAMS_L_NEG_1_TRUCK_003
591738,CONC_400CF_TRUCK_ASSEMBLY,ASM-CONC_400CF_TRUCK_ASSEMBLY,Grade Beams Concrete | L -1 | GRADE_BEAMS_L_NEG_1_TRUCK_004
591738,CONC_400CF_TRUCK_ASSEMBLY,ASM-CONC_400CF_TRUCK_ASSEMBLY,Grade Beams Concrete | L -1 | GRADE_BEAMS_L_NEG_1_TRUCK_005
591739,CONC_400CF_TRUCK_ASSEMBLY,ASM-CONC_400CF_TRUCK_ASSEMBLY,Grade Beams Concrete | L -1 | GRADE_BEAMS_L_NEG_1_TRUCK_001
591739,CONC_400CF_TRUCK_ASSEMBLY,ASM-CONC_400CF_TRUCK_ASSEMBLY,Grade Beams Concrete | L -1 | GRADE_BEAMS_L_NEG_1_TRUCK_002
591739,CONC_400CF_TRUCK_ASSEMBLY,ASM-CONC_400CF_TRUCK_ASSEMBLY,Grade Beams Concrete | L -1 | GRADE_BEAMS_L_NEG_1_TRUCK_003
591739,CONC_400CF_TRUCK_ASSEMBLY,ASM-CONC_400CF_TRUCK_ASSEMBLY,Grade Beams Concrete | L -1 | GRADE_BEAMS_L_NEG_1_TRUCK_004
591739,CONC_400CF_TRUCK_ASSEMBLY,ASM-CONC_400CF_TRUCK_ASSEMBLY,Grade Beams Concrete | L -1 | GRADE_BEAMS_L_NEG_1_TRUCK_005
