element_id,grouped_element_key,task,level,takt_zone_id,allocation_room,source_category,source_original_category,quantity,quantity_unit,allocation_method,split_from_element_id,split_share
1082486,mep-assembly:1440372:x-long,MEP,L 1,L 1 Takt Zone 9,L 1 Room 146,Air Terminals,,1.0,EA,centroid in room polygon,,1.0
1082649,mep-assembly:1440372:x-long,MEP,L 1,L 1 Takt Zone 9,L 1 Room 146,Air Terminals,,1.0,EA,centroid in room polygon,,1.0
1082712,mep-assembly:1440376:x-long,MEP,L 1,L 1 Takt Zone 8,L 1 Room 150,Air Terminals,,1.0,EA,centroid in room polygon,,1.0
1082897,mep-assembly:1440376:y-long,MEP,L 1,L 1 Takt Zone 8,L 1 Room 150,Air Terminals,,1.0,EA,centroid in room polygon,,1.0
1083126,mep-assembly:1440376:y-long,MEP,L 1,L 1 Takt Zone 8,L 1 Room 150,Air Terminals,,1.0,EA,centroid in room polygon,,1.0
1084400,mep-assembly:1440376:y-long,MEP,L 1,L 1 Takt Zone 8,L 1 Room 150,Air Terminals,,1.0,EA,centroid in room polygon,,1.0
1085785,mep-assembly:1440376:y-long,MEP,L 1,L 1 Takt Zone 8,L 1 Room 150,Ducts,,1.0,EA,centroid in room polygon,,1.0
1087051,mep-assembly:1440372:x-long,MEP,L 1,L 1 Takt Zone 9,L 1 Room 146,Duct Fittings,,1.0,EA,centroid in room polygon,,1.0
1087052,mep-assembly:1440372:y-long,MEP,L 1,L 1 Takt Zone 9,L 1 Room 146,Ducts,,1.0,EA,centroid in room polygon,,1.0
1087152,mep-assembly:1440376:y-long,MEP,L 1,L 1 Takt Zone 8,L 1 Room 150,Duct Fittings,,1.0,EA,centroid in room polygon,,1.0
1087153,mep-assembly:1440372:x-long,MEP,L 1,L 1 Takt Zone 9,L 1 Room 146,Ducts,,1.0,EA,centroid in room polygon,,1.0
1087184,mep-assembly:1440372:x-long,MEP,L 1,L 1 Takt Zone 9,L 1 Room 146,Duct Fittings,,1.0,EA,centroid in room polygon,,1.0
1087185,mep-assembly:1440372:x-long,MEP,L 1,L 1 Takt Zone 9,L 1 Room 146,Ducts,,1.0,EA,centroid in room polygon,,1.0
1087207,mep-assembly:1440372:x-long,MEP,L 1,L 1 Takt Zone 9,L 1 Room 146,Duct Fittings,,1.0,EA,centroid in room polygon,,1.0
1087208,mep-assembly:1440372:y-long,MEP,L 1,L 1 Takt Zone 9,L 1 Room 146,Ducts,,1.0,EA,nearest centroid fallback,,1.0
