sequence,takt_zone_id,level,rooms,task,crew,quantity,quantity_unit,productivity_rate,productivity_unit,duration_hours,start_hour,finish_hour,idle_before_hours,start,finish
1,L 1 Takt Zone 1,L 1,L 1 Room 168; L 1 Room 169,Interior Walls,interior_walls_crew,3.0,EA,1.0,EA/crew-hour,3.0,0.0,3.0,0.0,2030-01-02T09:00,2030-01-02T12:00
1,L 1 Takt Zone 1,L 1,L 1 Room 168; L 1 Room 169,MEP,mep_rough_in_crew,5.0,EA,1.0,EA/crew-hour,5.0,3.0,8.0,3.0,2030-01-02T12:00,2030-01-02T17:00
1,L 1 Takt Zone 1,L 1,L 1 Room 168; L 1 Room 169,Ceiling,ceiling_crew,2.0,EA,1.0,EA/crew-hour,2.0,8.0,10.0,8.0,2030-01-02T17:00,2030-01-03T10:00
1,L 1 Takt Zone 1,L 1,L 1 Room 168; L 1 Room 169,Doors,doors_crew,3.0,EA,1.0,EA/crew-hour,3.0,10.0,13.0,10.0,2030-01-03T10:00,2030-01-03T13:00
1,L 1 Takt Zone 1,L 1,L 1 Room 168; L 1 Room 169,Interior Finishes,interior_finishes_crew,275.0,SF,50.0,SF/crew-hour,5.5,13.0,18.5,13.0,2030-01-03T13:00,2030-01-04T09:30
2,L 1 Takt Zone 2,L 1,L 1 Room 170; L 1 Room 171,Interior Walls,interior_walls_crew,3.0,EA,1.0,EA/crew-hour,3.0,3.0,6.0,0.0,2030-01-02T12:00,2030-01-02T15:00
2,L 1 Takt Zone 2,L 1,L 1 Room 170; L 1 Room 171,MEP,mep_rough_in_crew,4.0,EA,1.0,EA/crew-hour,4.0,8.0,12.0,0.0,2030-01-02T17:00,2030-01-03T12:00
2,L 1 Takt Zone 2,L 1,L 1 Room 170; L 1 Room 171,Ceiling,ceiling_crew,2.0,EA,1.0,EA/crew-hour,2.0,12.0,14.0,2.0,2030-01-03T12:00,2030-01-03T14:00
2,L 1 Takt Zone 2,L 1,L 1 Room 170; L 1 Room 171,Doors,doors_crew,2.0,EA,1.0,EA/crew-hour,2.0,14.0,16.0,1.0,2030-01-03T14:00,2030-01-03T16:00
2,L 1 Takt Zone 2,L 1,L 1 Room 170; L 1 Room 171,Interior Finishes,interior_finishes_crew,343.0,SF,50.0,SF/crew-hour,6.86,18.5,25.36,0.0,2030-01-04T09:30,2030-01-04T16:21
3,L 1 Takt Zone 3,L 1,L 1 Room 172; L 1 Room 173,Interior Walls,interior_walls_crew,4.0,EA,1.0,EA/crew-hour,4.0,6.0,10.0,0.0,2030-01-02T15:00,2030-01-03T10:00
3,L 1 Takt Zone 3,L 1,L 1 Room 172; L 1 Room 173,MEP,mep_rough_in_crew,4.0,EA,1.0,EA/crew-hour,4.0,12.0,16.0,0.0,2030-01-03T12:00,2030-01-03T16:00
3,L 1 Takt Zone 3,L 1,L 1 Room 172; L 1 Room 173,Ceiling,ceiling_crew,2.0,EA,1.0,EA/crew-hour,2.0,16.0,18.0,2.0,2030-01-03T16:00,2030-01-04T09:00
3,L 1 Takt Zone 3,L 1,L 1 Room 172; L 1 Room 173,Doors,doors_crew,2.0,EA,1.0,EA/crew-hour,2.0,18.0,20.0,2.0,2030-01-04T09:00,2030-01-04T11:00
3,L 1 Takt Zone 3,L 1,L 1 Room 172; L 1 Room 173,Interior Finishes,interior_finishes_crew,427.0,SF,50.0,SF/crew-hour,8.54,25.36,33.9,0.0,2030-01-04T16:21,2030-01-05T15:54
4,L 1 Takt Zone 4,L 1,L 1 Room 174; L 1 Room 175,Interior Walls,interior_walls_crew,3.0,EA,1.0,EA/crew-hour,3.0,10.0,13.0,0.0,2030-01-03T10:00,2030-01-03T13:00
4,L 1 Takt Zone 4,L 1,L 1 Room 174; L 1 Room 175,MEP,mep_rough_in_crew,4.0,EA,1.0,EA/crew-hour,4.0,16.0,20.0,0.0,2030-01-03T16:00,2030-01-04T11:00
4,L 1 Takt Zone 4,L 1,L 1 Room 174; L 1 Room 175,Ceiling,ceiling_crew,2.0,EA,1.0,EA/crew-hour,2.0,20.0,22.0,2.0,2030-01-04T11:00,2030-01-04T13:00
4,L 1 Takt Zone 4,L 1,L 1 Room 174; L 1 Room 175,Doors,doors_crew,2.0,EA,1.0,EA/crew-hour,2.0,22.0,24.0,2.0,2030-01-04T13:00,2030-01-04T15:00
4,L 1 Takt Zone 4,L 1,L 1 Room 174; L 1 Room 175,Interior Finishes,interior_finishes_crew,329.0,SF,50.0,SF/crew-hour,6.58,33.9,40.48,0.0,2030-01-05T15:54,2030-01-06T13:28
5,L 1 Takt Zone 5,L 1,L 1 Room 176; L 1 Room 177,Interior Walls,interior_walls_crew,4.0,EA,1.0,EA/crew-hour,4.0,13.0,17.0,0.0,2030-01-03T13:00,2030-01-03T17:00
5,L 1 Takt Zone 5,L 1,L 1 Room 176; L 1 Room 177,MEP,mep_rough_in_crew,4.0,EA,1.0,EA/crew-hour,4.0,20.0,24.0,0.0,2030-01-04T11:00,2030-01-04T15:00
5,L 1 Takt Zone 5,L 1,L 1 Room 176; L 1 Room 177,Ceiling,ceiling_crew,2.0,EA,1.0,EA/crew-hour,2.0,24.0,26.0,2.0,2030-01-04T15:00,2030-01-04T17:00
5,L 1 Takt Zone 5,L 1,L 1 Room 176; L 1 Room 177,Doors,doors_crew,2.0,EA,1.0,EA/crew-hour,2.0,26.0,28.0,2.0,2030-01-04T17:00,2030-01-05T10:00
5,L 1 Takt Zone 5,L 1,L 1 Room 176; L 1 Room 177,Interior Finishes,interior_finishes_crew,461.0,SF,50.0,SF/crew-hour,9.22,40.48,49.7,0.0,2030-01-06T13:28,2030-01-07T13:42
6,L 1 Takt Zone 6,L 1,L 1 Room 178; L 1 Room 180,Interior Walls,interior_walls_crew,3.0,EA,1.0,EA/crew-hour,3.0,17.0,20.0,0.0,2030-01-03T17:00,2030-01-04T11:00
6,L 1 Takt Zone 6,L 1,L 1 Room 178; L 1 Room 180,MEP,mep_rough_in_crew,5.0,EA,1.0,EA/crew-hour,5.0,24.0,29.0,0.0,2030-01-04T15:00,2030-01-05T11:00
